date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-09-11,822684,,,洛杉磯天使,華盛頓國民,,
2026-09-11,822767,,,巴爾的摩金鶯,多倫多藍鳥,,
2026-09-11,822930,,,休士頓太空人,坦帕灣光芒,,
2026-09-11,823012,,,芝加哥白襪,聖路易紅雀,,
2026-09-11,823173,,,聖地牙哥教士,舊金山巨人,,
2026-09-11,823498,,,紐約大都會,紐約洋基,,
2026-09-11,823659,,,克里夫蘭守護者,明尼蘇達雙城,,
2026-09-11,823736,,,辛辛那提紅人,密爾瓦基釀酒人,,
2026-09-11,823817,,,洛杉磯道奇,邁阿密馬林魚,,
2026-09-11,824227,,,科羅拉多洛磯,底特律老虎,,
2026-09-11,824631,,,匹茲堡海盜,芝加哥小熊,,
2026-09-11,824711,,,堪薩斯市皇家,波士頓紅襪,,
2026-09-11,824873,,,費城費城人,亞特蘭大勇士,,
2026-09-11,824954,,,西雅圖水手,運動家,,
2026-09-11,825036,,,德州遊騎兵,亞利桑那響尾蛇,,
