date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-11,822697,DraftKings,2026-08-11T13:53:43,芝加哥小熊,華盛頓國民,-174,+143
2026-08-11,822778,DraftKings,2026-08-11T13:53:43,波士頓紅襪,多倫多藍鳥,+123,-149
2026-08-11,823019,DraftKings,2026-08-11T13:53:43,費城費城人,聖路易紅雀,-172,+142
2026-08-11,823186,DraftKings,2026-08-11T13:53:43,休士頓太空人,舊金山巨人,-198,+163
2026-08-11,823264,DraftKings,2026-08-11T13:53:43,密爾瓦基釀酒人,聖地牙哥教士,-143,+119
2026-08-11,823512,DraftKings,2026-08-11T13:53:43,西雅圖水手,紐約洋基,+109,-131
2026-08-11,823673,DraftKings,2026-08-11T13:53:43,巴爾的摩金鶯,明尼蘇達雙城,-102,-118
2026-08-11,823832,DraftKings,2026-08-11T13:53:43,匹茲堡海盜,邁阿密馬林魚,-120,-101
2026-08-11,823917,DraftKings,2026-08-11T13:53:43,堪薩斯市皇家,洛杉磯道奇,+223,-279
2026-08-11,823997,DraftKings,2026-08-11T13:53:43,德州遊騎兵,洛杉磯天使,-143,+119
2026-08-11,824240,DraftKings,2026-08-11T13:53:43,克里夫蘭守護者,底特律老虎,+105,-127
2026-08-11,824563,DraftKings,2026-08-11T13:53:43,辛辛那提紅人,芝加哥白襪,+135,-163
2026-08-11,824886,DraftKings,2026-08-11T13:53:43,紐約大都會,亞特蘭大勇士,+109,-131
2026-08-11,824970,DraftKings,2026-08-11T13:53:43,坦帕灣光芒,運動家,-163,+135
2026-08-11,825046,DraftKings,2026-08-11T13:53:43,科羅拉多洛磯,亞利桑那響尾蛇,+144,-180
