date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-17,822939,DraftKings,2026-08-17T07:19:15,巴爾的摩金鶯,坦帕灣光芒,+135,-163
2026-08-17,823343,DraftKings,2026-08-17T07:19:15,底特律老虎,匹茲堡海盜,-120,+100
2026-08-17,823427,DraftKings,2026-08-17T07:19:15,邁阿密馬林魚,費城費城人,+198,-245
2026-08-17,823589,DraftKings,2026-08-17T07:19:15,聖地牙哥教士,紐約大都會,+101,-121
2026-08-17,823668,DraftKings,2026-08-17T07:19:15,亞特蘭大勇士,明尼蘇達雙城,-125,+104
2026-08-17,824077,,,運動家,堪薩斯市皇家,,
2026-08-17,824320,DraftKings,2026-08-17T07:19:15,洛杉磯道奇,科羅拉多洛磯,-245,+198
2026-08-17,824478,,,聖路易紅雀,辛辛那提紅人,,
2026-08-17,824514,,,聖路易紅雀,辛辛那提紅人,,
2026-08-17,824641,DraftKings,2026-08-17T07:19:15,芝加哥白襪,芝加哥小熊,+144,-175
2026-08-17,824725,,,亞利桑那響尾蛇,波士頓紅襪,,
