date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-10,822780,DraftKings,2026-08-10T23:59:39,波士頓紅襪,多倫多藍鳥,-148,+138
2026-08-10,823018,DraftKings,2026-08-10T23:59:39,費城費城人,聖路易紅雀,-115,+107
2026-08-10,823189,DraftKings,2026-08-10T23:59:39,休士頓太空人,舊金山巨人,-147,+137
2026-08-10,823265,DraftKings,2026-08-10T23:59:39,密爾瓦基釀酒人,聖地牙哥教士,-115,+107
2026-08-10,823675,DraftKings,2026-08-10T23:59:39,巴爾的摩金鶯,明尼蘇達雙城,-112,+104
2026-08-10,823918,DraftKings,2026-08-10T23:59:39,堪薩斯市皇家,洛杉磯道奇,+241,-261
2026-08-10,823998,DraftKings,2026-08-10T23:59:39,德州遊騎兵,洛杉磯天使,-111,+103
2026-08-10,824887,DraftKings,2026-08-10T23:59:39,紐約大都會,亞特蘭大勇士,+132,-142
2026-08-10,824969,DraftKings,2026-08-10T23:59:39,坦帕灣光芒,運動家,-154,+143
2026-08-10,825048,DraftKings,2026-08-10T23:59:39,科羅拉多洛磯,亞利桑那響尾蛇,+180,-194
