date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-02,822783,台灣運彩,2026-08-02T00:07:30,聖路易紅雀,多倫多藍鳥,2.05,1.48
2026-08-02,822943,台灣運彩,2026-08-02T00:07:30,芝加哥白襪,坦帕灣光芒,2.20,1.42
2026-08-02,823107,台灣運彩,2026-08-02T00:07:30,明尼蘇達雙城,西雅圖水手,2.15,1.43
2026-08-02,823270,台灣運彩,2026-08-02T00:07:30,舊金山巨人,聖地牙哥教士,1.97,1.53
2026-08-02,823592,台灣運彩,2026-08-02T00:07:30,邁阿密馬林魚,紐約大都會,1.94,1.56
2026-08-02,823919,台灣運彩,2026-08-02T00:07:30,波士頓紅襪,洛杉磯道奇,2.20,1.42
2026-08-02,823996,台灣運彩,2026-08-02T00:07:30,密爾瓦基釀酒人,洛杉磯天使,1.63,1.87
2026-08-02,824163,台灣運彩,2026-08-02T00:07:30,德州遊騎兵,休士頓太空人,1.63,1.87
2026-08-02,824323,台灣運彩,2026-08-02T00:07:30,堪薩斯市皇家,科羅拉多洛磯,1.87,1.63
2026-08-02,824404,台灣運彩,2026-08-02T00:07:30,亞利桑那響尾蛇,克里夫蘭守護者,2.20,1.42
2026-08-02,824483,台灣運彩,2026-08-02T00:07:30,匹茲堡海盜,辛辛那提紅人,1.65,1.85
2026-08-02,824648,台灣運彩,2026-08-02T00:07:30,紐約洋基,芝加哥小熊,1.62,1.88
2026-08-02,824807,台灣運彩,2026-08-02T00:07:30,費城費城人,巴爾的摩金鶯,1.48,2.05
2026-08-02,824891,台灣運彩,2026-08-02T00:07:30,華盛頓國民,亞特蘭大勇士,2.30,1.40
2026-08-02,824971,台灣運彩,2026-08-02T00:07:30,底特律老虎,運動家,1.43,2.15
