date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-07-21,822787,台灣運彩,2026-07-21T00:06:05,坦帕灣光芒,多倫多藍鳥,1.97,1.53
2026-07-21,822871,台灣運彩,2026-07-21T00:06:05,芝加哥白襪,德州遊騎兵,2.15,1.43
2026-07-21,823114,台灣運彩,2026-07-21T00:06:05,辛辛那提紅人,西雅圖水手,1.95,1.55
2026-07-21,823437,台灣運彩,2026-07-21T00:06:05,洛杉磯道奇,費城費城人,1.87,1.63
2026-07-21,823519,台灣運彩,2026-07-21T00:06:05,匹茲堡海盜,紐約洋基,1.97,1.53
2026-07-21,823760,台灣運彩,2026-07-21T00:06:05,紐約大都會,密爾瓦基釀酒人,2.50,1.32
2026-07-21,824005,台灣運彩,2026-07-21T00:06:05,聖路易紅雀,洛杉磯天使,1.78,1.72
2026-07-21,824085,台灣運彩,2026-07-21T00:06:05,舊金山巨人,堪薩斯市皇家,1.85,1.65
2026-07-21,824165,台灣運彩,2026-07-21T00:06:05,邁阿密馬林魚,休士頓太空人,1.90,1.60
2026-07-21,824329,台灣運彩,2026-07-21T00:06:05,華盛頓國民,科羅拉多洛磯,1.58,1.92
2026-07-21,824409,台灣運彩,2026-07-21T00:06:05,明尼蘇達雙城,克里夫蘭守護者,1.60,1.90
2026-07-21,824652,台灣運彩,2026-07-21T00:06:05,底特律老虎,芝加哥小熊,1.82,1.68
2026-07-21,824735,台灣運彩,2026-07-21T00:06:05,巴爾的摩金鶯,波士頓紅襪,2.07,1.46
2026-07-21,824895,台灣運彩,2026-07-21T00:06:05,聖地牙哥教士,亞特蘭大勇士,1.94,1.56
2026-07-21,825056,台灣運彩,2026-07-21T00:06:05,運動家,亞利桑那響尾蛇,2.00,1.50
