date,captured_at_tw,sportsbook,game_pk,official_event_id,event_no,kickoff_tw,away_zh,home_zh,matchup_zh,market_id,market_ti,market_name,selection_id,selection_name,selection_side,selection_line,odds_decimal,pd,pu,raw_v,raw_hv,raw_cn
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442842.1,354,不讓分,252836453.1,匹茲堡海盜,H,,1.66,50,33,H,,1
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442842.1,354,不讓分,252836454.1,密爾瓦基釀酒人,A,,1.84,25,21,A,,2
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442853.1,357,勝分差,252836475.1,匹茲堡海盜 1 分,H,,4.00,1,3,H,,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442853.1,357,勝分差,252836476.1,匹茲堡海盜 2 分,H,,7.50,2,13,H,,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442853.1,357,勝分差,252836477.1,匹茲堡海盜 > 2分,H,,2.80,5,9,H,,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442853.1,357,勝分差,252836478.1,密爾瓦基釀酒人 1 分,A,,5.60,5,23,A,,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442853.1,357,勝分差,252836479.1,密爾瓦基釀酒人 2 分,A,,7.00,1,6,A,,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442853.1,357,勝分差,252836480.1,密爾瓦基釀酒人 > 2分,A,,2.60,5,8,A,,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442847.1,358,讓分 -1.5,252836463.1,匹茲堡海盜 -1.5,H,-1.5,2.30,10,13,H,-1.5,1
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442847.1,358,讓分 -1.5,252836464.1,密爾瓦基釀酒人 +1.5,A,-1.5,1.40,5,2,A,-1.5,2
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442850.1,358,讓分 1.5,252836469.1,匹茲堡海盜 +1.5,H,1.5,1.40,5,2,H,1.5,1
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442850.1,358,讓分 1.5,252836470.1,密爾瓦基釀酒人 -1.5,A,1.5,2.30,10,13,A,1.5,2
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442852.1,358,讓分 -2.5,252836473.1,匹茲堡海盜 -2.5,H,-2.5,2.85,20,37,H,-2.5,1
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442852.1,358,讓分 -2.5,252836474.1,密爾瓦基釀酒人 +2.5,A,-2.5,1.25,4,1,A,-2.5,2
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442845.1,360,[總分]大小 7.5,252836460.1,大 7.5,A,7.5,1.52,25,13,A,7.5,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442845.1,360,[總分]大小 7.5,252836459.1,小 7.5,H,7.5,1.98,50,49,H,7.5,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442849.1,360,[總分]大小 8.5,252836468.1,大 8.5,A,8.5,1.75,4,3,A,8.5,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442849.1,360,[總分]大小 8.5,252836467.1,小 8.5,H,8.5,1.75,4,3,H,8.5,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442851.1,360,[總分]大小 9.5,252836472.1,大 9.5,A,9.5,2.07,100,107,A,9.5,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51442851.1,360,[總分]大小 9.5,252836471.1,小 9.5,H,9.5,1.46,50,23,H,9.5,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51443620.1,362,匹茲堡海盜 大小 3.5,252838952.1,大 3.5,A,3.5,1.55,20,11,A,3.5,
2026-07-12,2026-07-12T00:02:53,台灣運彩,823358,3477643.1,143,2026-07-12T00:05:00+08:00,密爾瓦基釀酒人,匹茲堡海盜,密爾瓦基釀酒人 @ 匹茲堡海盜,51443620.1,362,匹茲堡海盜 大小 3.5,252838951.1,小 3.5,H,3.5,1.90,10,9,H,3.5,
