date,captured_at_tw,sportsbook,game_pk,official_event_id,event_no,kickoff_tw,away_zh,home_zh,matchup_zh,market_id,market_ti,market_name,selection_id,selection_name,selection_side,selection_line,odds_decimal,pd,pu,raw_v,raw_hv,raw_cn
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508984.1,354,不讓分,253040792.1,橫濱海灣之星,H,,2.07,100,107,H,,1
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508984.1,354,不讓分,253040793.1,阪神虎,A,,1.45,20,9,A,,2
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508985.1,358,讓分 1.5,253040794.1,橫濱海灣之星 +1.5,H,1.5,1.62,50,31,H,1.5,1
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508985.1,358,讓分 1.5,253040795.1,阪神虎 -1.5,A,1.5,1.82,50,41,A,1.5,2
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508981.1,360,[總分]大小 7.5,253040785.1,大 7.5,A,7.5,1.85,20,17,A,7.5,
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508981.1,360,[總分]大小 7.5,253040784.1,小 7.5,H,7.5,1.60,5,3,H,7.5,
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508979.1,362,橫濱海灣之星 大小 2.5,253040781.1,大 2.5,A,2.5,1.60,5,3,A,2.5,
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508979.1,362,橫濱海灣之星 大小 2.5,253040780.1,小 2.5,H,2.5,1.73,100,73,H,2.5,
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508978.1,363,阪神虎 大小 3.5,253040779.1,大 3.5,A,3.5,1.55,20,11,A,3.5,
2026-08-04,2026-08-04T13:56:13,台灣運彩,,3481061.1,102,2026-08-04T16:45:00+08:00,阪神虎,橫濱海灣之星,阪神虎 @ 橫濱海灣之星,51508978.1,363,阪神虎 大小 3.5,253040778.1,小 3.5,H,3.5,1.80,5,4,H,3.5,
