date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-21,822857,,,洛杉磯天使,德州遊騎兵,,
2026-08-21,823101,DraftKings,2026-08-21T07:25:25,芝加哥小熊,西雅圖水手,-110,-109
2026-08-21,823262,,,明尼蘇達雙城,聖地牙哥教士,,
2026-08-21,823420,,,聖路易紅雀,費城費城人,,
2026-08-21,823510,,,多倫多藍鳥,紐約洋基,,
2026-08-21,823746,DraftKings,2026-08-21T07:25:25,亞特蘭大勇士,密爾瓦基釀酒人,+123,-149
2026-08-21,823830,DraftKings,2026-08-21T07:25:25,華盛頓國民,邁阿密馬林魚,+123,-149
2026-08-21,823911,DraftKings,2026-08-21T07:25:25,匹茲堡海盜,洛杉磯道奇,+194,-239
2026-08-21,824072,DraftKings,2026-08-21T07:25:25,底特律老虎,堪薩斯市皇家,-121,+101
2026-08-21,824152,DraftKings,2026-08-21T07:25:25,運動家,休士頓太空人,+163,-198
2026-08-21,824317,DraftKings,2026-08-21T07:25:25,克里夫蘭守護者,科羅拉多洛磯,-162,+134
2026-08-21,824559,DraftKings,2026-08-21T07:25:25,紐約大都會,芝加哥白襪,+123,-149
2026-08-21,824721,DraftKings,2026-08-21T07:25:25,舊金山巨人,波士頓紅襪,+149,-181
2026-08-21,824800,DraftKings,2026-08-21T07:25:25,坦帕灣光芒,巴爾的摩金鶯,+109,-131
2026-08-21,825045,DraftKings,2026-08-21T07:25:25,辛辛那提紅人,亞利桑那響尾蛇,+124,-150
