date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-07-06,822712,台灣運彩,2026-07-06T13:51:02,休士頓太空人,華盛頓國民,1.94,1.56
2026-07-06,822958,台灣運彩,2026-07-06T13:51:02,紐約洋基,坦帕灣光芒,1.80,1.70
2026-07-06,823036,台灣運彩,2026-07-06T13:51:02,密爾瓦基釀酒人,聖路易紅雀,1.65,1.85
2026-07-06,823205,台灣運彩,2026-07-06T13:51:02,多倫多藍鳥,舊金山巨人,1.73,1.77
2026-07-06,823282,台灣運彩,2026-07-06T13:51:02,亞利桑那響尾蛇,聖地牙哥教士,1.82,1.68
2026-07-06,823930,台灣運彩,2026-07-06T13:51:02,科羅拉多洛磯,洛杉磯道奇,2.45,1.35
2026-07-06,824089,台灣運彩,2026-07-06T13:51:02,費城費城人,堪薩斯市皇家,1.40,2.30
2026-07-06,824900,台灣運彩,2026-07-06T13:51:02,紐約大都會,亞特蘭大勇士,1.92,1.58
