date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-09-13,822682,DraftKings,2026-09-13T05:15:37,洛杉磯天使,華盛頓國民,+105,-126
2026-09-13,822764,DraftKings,2026-09-13T05:15:37,巴爾的摩金鶯,多倫多藍鳥,+128,-155
2026-09-13,822928,DraftKings,2026-09-13T05:15:37,休士頓太空人,坦帕灣光芒,+119,-144
2026-09-13,823008,,,芝加哥白襪,聖路易紅雀,,
2026-09-13,823171,DraftKings,2026-09-13T05:15:37,聖地牙哥教士,舊金山巨人,-131,+108
2026-09-13,823495,DraftKings,2026-09-13T05:15:37,紐約大都會,紐約洋基,+157,-191
2026-09-13,823658,,,克里夫蘭守護者,明尼蘇達雙城,,
2026-09-13,823734,,,辛辛那提紅人,密爾瓦基釀酒人,,
2026-09-13,823815,DraftKings,2026-09-13T05:15:37,洛杉磯道奇,邁阿密馬林魚,-156,+129
2026-09-13,824225,DraftKings,2026-09-13T05:15:37,科羅拉多洛磯,底特律老虎,+129,-156
2026-09-13,824628,DraftKings,2026-09-13T05:15:37,匹茲堡海盜,芝加哥小熊,+123,-149
2026-09-13,824708,DraftKings,2026-09-13T05:15:37,堪薩斯市皇家,波士頓紅襪,+152,-185
2026-09-13,824869,DraftKings,2026-09-13T05:15:37,費城費城人,亞特蘭大勇士,+105,-127
2026-09-13,824952,DraftKings,2026-09-13T05:15:37,西雅圖水手,運動家,-148,+123
2026-09-13,825033,,,德州遊騎兵,亞利桑那響尾蛇,,
