date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-07-12,822708,台灣運彩,2026-07-12T13:52:16,紐約洋基,華盛頓國民,1.66,1.84
2026-07-12,822876,台灣運彩,2026-07-12T13:52:16,休士頓太空人,德州遊騎兵,1.92,1.58
2026-07-12,822951,台灣運彩,2026-07-12T13:52:16,西雅圖水手,坦帕灣光芒,1.94,1.56
2026-07-12,823029,台灣運彩,2026-07-12T13:52:16,亞特蘭大勇士,聖路易紅雀,1.94,1.56
2026-07-12,823199,台灣運彩,2026-07-12T13:52:16,科羅拉多洛磯,舊金山巨人,2.00,1.50
2026-07-12,823274,台灣運彩,2026-07-12T13:52:16,多倫多藍鳥,聖地牙哥教士,1.60,1.90
2026-07-12,823358,DraftKings,2026-07-12T13:52:16,密爾瓦基釀酒人,匹茲堡海盜,+104,-126
2026-07-12,823602,台灣運彩,2026-07-12T13:52:16,波士頓紅襪,紐約大都會,1.62,1.88
2026-07-12,823681,台灣運彩,2026-07-12T13:52:16,洛杉磯天使,明尼蘇達雙城,1.90,1.60
2026-07-12,823842,台灣運彩,2026-07-12T13:52:16,克里夫蘭守護者,邁阿密馬林魚,1.84,1.66
2026-07-12,823925,DraftKings,2026-07-12T13:52:16,亞利桑那響尾蛇,洛杉磯道奇,+178,-219
2026-07-12,824250,台灣運彩,2026-07-12T13:52:16,費城費城人,底特律老虎,1.82,1.68
2026-07-12,824491,台灣運彩,2026-07-12T13:52:16,芝加哥小熊,辛辛那提紅人,1.58,1.92
2026-07-12,824574,台灣運彩,2026-07-12T13:52:16,運動家,芝加哥白襪,1.85,1.65
2026-07-12,824814,台灣運彩,2026-07-12T13:52:16,堪薩斯市皇家,巴爾的摩金鶯,2.05,1.48
