date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-07-02,822884,,,底特律老虎,德州遊騎兵,,
2026-07-02,823119,,,洛杉磯天使,西雅圖水手,,
2026-07-02,823442,台灣運彩,2026-07-02T03:32:25,匹茲堡海盜,費城費城人,1.87,1.63
2026-07-02,823765,台灣運彩,2026-07-02T03:32:25,辛辛那提紅人,密爾瓦基釀酒人,2.33,1.38
2026-07-02,823935,,,聖地牙哥教士,洛杉磯道奇,,
2026-07-02,824093,台灣運彩,2026-07-02T03:32:25,坦帕灣光芒,堪薩斯市皇家,1.50,2.00
2026-07-02,824335,台灣運彩,2026-07-02T03:32:25,邁阿密馬林魚,科羅拉多洛磯,1.40,2.30
2026-07-02,824416,,,芝加哥白襪,克里夫蘭守護者,,
2026-07-02,824906,台灣運彩,2026-07-02T03:32:25,聖路易紅雀,亞特蘭大勇士,1.95,1.55
