date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-13,822696,DraftKings,2026-08-13T23:59:04,芝加哥小熊,華盛頓國民,-146,+136
2026-08-13,822776,DraftKings,2026-08-13T23:59:04,波士頓紅襪,多倫多藍鳥,-140,+131
2026-08-13,823508,DraftKings,2026-08-13T23:59:04,西雅圖水手,紐約洋基,+148,-159
2026-08-13,823669,DraftKings,2026-08-13T23:59:04,費城費城人,明尼蘇達雙城,-103,-104
2026-08-13,823829,DraftKings,2026-08-13T23:59:04,匹茲堡海盜,邁阿密馬林魚,-119,+111
2026-08-13,823915,DraftKings,2026-08-13T23:59:04,密爾瓦基釀酒人,洛杉磯道奇,+131,-140
2026-08-13,823995,DraftKings,2026-08-13T23:59:04,德州遊騎兵,洛杉磯天使,-148,+138
2026-08-13,824238,DraftKings,2026-08-13T23:59:04,克里夫蘭守護者,底特律老虎,-108,+100
2026-08-13,824561,DraftKings,2026-08-13T23:59:04,辛辛那提紅人,芝加哥白襪,+114,-122
