game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
823062,2026-07-08 02:15,2026-07-07T18:15:00Z,密爾瓦基釀酒人 @ 聖路易紅雀,10000,3.46,4.49,7.95,0.3669,0.6331,2.73,1.58,台灣運彩,1.38,2.33,-0.3577,0.2039,聖路易紅雀,projected_recent_lineup_order,7.5,0.4854,0.5146,小分
824820,2026-07-08 06:35,2026-07-07T22:35:00Z,芝加哥小熊 @ 巴爾的摩金鶯,10000,5.48,2.11,7.59,0.7995,0.2005,1.25,4.99,台灣運彩,1.66,1.84,0.1971,-0.343,芝加哥小熊,projected_recent_lineup_order,9.5,0.2831,0.7169,小分
822956,2026-07-08 06:40,2026-07-07T22:40:00Z,紐約洋基 @ 坦帕灣光芒,10000,3.9,3.11,7.01,0.5577,0.4423,1.79,2.26,台灣運彩,1.82,1.68,0.0082,-0.1529,紐約洋基,projected_recent_lineup_order,8.5,0.3175,0.6825,小分
823361,2026-07-08 06:40,2026-07-07T22:40:00Z,亞特蘭大勇士 @ 匹茲堡海盜,10000,3.33,3.81,7.14,0.4126,0.5874,2.42,1.70,台灣運彩,2.15,1.43,-0.0525,-0.1119,不推薦,projected_recent_lineup_order,8.5,0.3252,0.6748,小分
823847,2026-07-08 06:40,2026-07-07T22:40:00Z,西雅圖水手 @ 邁阿密馬林魚,10000,2.71,4.85,7.57,0.2588,0.7412,3.86,1.35,台灣運彩,1.85,1.65,-0.2817,0.1351,邁阿密馬林魚,projected_recent_lineup_order,7.5,0.4504,0.5496,小分
824254,2026-07-08 06:40,2026-07-07T22:40:00Z,運動家 @ 底特律老虎,10000,5.56,2.62,8.18,0.7455,0.2545,1.34,3.93,台灣運彩,2.30,1.40,0.3107,-0.4598,運動家,projected_recent_lineup_order,7.5,0.5163,0.4837,大分
822713,2026-07-08 06:45,2026-07-07T22:45:00Z,休士頓太空人 @ 華盛頓國民,10000,2.33,3.19,5.51,0.3493,0.6507,2.86,1.54,台灣運彩,1.88,1.62,-0.1826,0.0334,華盛頓國民,projected_recent_lineup_order,9.5,0.1137,0.8863,小分
823607,2026-07-08 07:10,2026-07-07T23:10:00Z,堪薩斯市皇家 @ 紐約大都會,10000,2.72,2.48,5.2,0.4954,0.5046,2.02,1.98,台灣運彩,2.05,1.48,0.0076,-0.1711,堪薩斯市皇家,projected_recent_lineup_order,8.5,0.1501,0.8499,小分
824495,2026-07-08 07:10,2026-07-07T23:10:00Z,費城費城人 @ 辛辛那提紅人,10000,5.46,2.38,7.84,0.7671,0.2329,1.30,4.29,台灣運彩,1.42,2.20,0.0629,-0.2216,費城費城人,projected_recent_lineup_order,8.5,0.3944,0.6056,小分
823687,2026-07-08 07:40,2026-07-07T23:40:00Z,克里夫蘭守護者 @ 明尼蘇達雙城,10000,1.96,5.03,6.99,0.1638,0.8362,6.11,1.20,台灣運彩,1.85,1.65,-0.3767,0.2301,明尼蘇達雙城,projected_recent_lineup_order,8.5,0.3112,0.6888,小分
824579,2026-07-08 07:40,2026-07-07T23:40:00Z,波士頓紅襪 @ 芝加哥白襪,10000,2.68,4.74,7.42,0.2629,0.7371,3.80,1.36,台灣運彩,1.60,1.90,-0.3621,0.2108,芝加哥白襪,projected_recent_lineup_order,8.5,0.3549,0.6451,小分
823035,2026-07-08 07:45,2026-07-07T23:45:00Z,密爾瓦基釀酒人 @ 聖路易紅雀,10000,3.46,4.18,7.63,0.3954,0.6046,2.53,1.65,台灣運彩,1.38,2.33,-0.3292,0.1754,聖路易紅雀,projected_recent_lineup_order,7.5,0.4585,0.5415,小分
822881,2026-07-08 08:05,2026-07-08T00:05:00Z,洛杉磯天使 @ 德州遊騎兵,10000,2.92,2.49,5.4,0.5156,0.4844,1.94,2.06,台灣運彩,2.15,1.43,0.0505,-0.2149,洛杉磯天使,projected_recent_lineup_order,7.5,0.2305,0.7695,小分
823280,2026-07-08 09:40,2026-07-08T01:40:00Z,亞利桑那響尾蛇 @ 聖地牙哥教士,10000,3.22,1.92,5.14,0.6313,0.3687,1.58,2.71,台灣運彩,1.90,1.60,0.105,-0.2563,亞利桑那響尾蛇,projected_recent_lineup_order,8.5,0.1436,0.8564,小分
823203,2026-07-08 09:45,2026-07-08T01:45:00Z,多倫多藍鳥 @ 舊金山巨人,10000,2.35,3.27,5.62,0.3439,0.6561,2.91,1.52,台灣運彩,1.70,1.80,-0.2443,0.1005,舊金山巨人,projected_recent_lineup_order,7.5,0.246,0.754,小分
823929,2026-07-08 10:10,2026-07-08T02:10:00Z,科羅拉多洛磯 @ 洛杉磯道奇,10000,7.1,2.96,10.06,0.8054,0.1946,1.24,5.14,台灣運彩,3.00,1.22,0.4721,-0.6251,科羅拉多洛磯,projected_recent_lineup_order,9.5,0.4971,0.5029,小分
