date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,decision,unified_decision,unified_direction,score_pick_zh,score_alignment,monte_carlo_totals_pick_zh,official_totals_pick_zh,totals_alignment,matchup_zh,prediction_zh,moneyline,confidence,market_implied_prob,edge,unit,status,score,actual_winner_zh,settlement,pnl,is_final
2026-07-03,823120,2026-07-04 10:10,2026-07-04T02:10:00Z,台灣運彩,2026-07-03T21:44:11,一般預測,,,,,,,,多倫多藍鳥 @ 西雅圖水手,西雅圖水手,1.9,0.528,0.5263,0.0017,100.0,Final,2-0,多倫多藍鳥,loss,-100.0,True
2026-07-03,822714,2026-07-04 06:45,2026-07-03T22:45:00Z,台灣運彩,2026-07-03T21:44:11,一般預測,,,,,,,,匹茲堡海盜 @ 華盛頓國民,匹茲堡海盜,2.0,0.51,0.5,0.01,100.0,Final,5-9,華盛頓國民,loss,-100.0,True
