game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
822949,2026-07-29 06:40,2026-07-28T22:40:00Z,德州遊騎兵 @ 坦帕灣光芒,10000,4.6,5.13,9.73,0.4761,0.5239,2.10,1.91,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.03,2.65,6.69,9.5,,,無大小分盤口
823350,2026-07-29 06:40,2026-07-28T22:40:00Z,亞利桑那響尾蛇 @ 匹茲堡海盜,10000,5.32,5.28,10.6,0.5218,0.4782,1.92,2.09,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.6,4.07,8.67,10.5,,,無大小分盤口
823838,2026-07-29 06:40,2026-07-28T22:40:00Z,費城費城人 @ 邁阿密馬林魚,10000,4.63,5.0,9.63,0.458,0.542,2.18,1.85,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.69,2.71,5.4,9.5,,,無大小分盤口
824243,2026-07-29 06:40,2026-07-28T22:40:00Z,巴爾的摩金鶯 @ 底特律老虎,10000,4.01,4.78,8.79,0.3857,0.6143,2.59,1.63,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.83,3.3,8.13,9.0,,,無大小分盤口
822703,2026-07-29 06:45,2026-07-28T22:45:00Z,多倫多藍鳥 @ 華盛頓國民,10000,4.62,6.03,10.65,0.3153,0.6847,3.17,1.46,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.88,5.28,7.17,10.5,,,無大小分盤口
823598,2026-07-29 07:10,2026-07-28T23:10:00Z,亞特蘭大勇士 @ 紐約大都會,10000,5.49,4.33,9.82,0.6409,0.3591,1.56,2.78,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.88,3.15,8.03,10.0,,,無大小分盤口
824489,2026-07-29 07:10,2026-07-28T23:10:00Z,克里夫蘭守護者 @ 辛辛那提紅人,10000,4.15,4.17,8.32,0.4797,0.5203,2.08,1.92,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.41,2.61,5.02,8.5,,,無大小分盤口
823676,2026-07-29 07:40,2026-07-28T23:40:00Z,堪薩斯市皇家 @ 明尼蘇達雙城,10000,4.47,5.16,9.63,0.4623,0.5377,2.16,1.86,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.06,3.07,6.13,9.5,,,無大小分盤口
824569,2026-07-29 07:40,2026-07-28T23:40:00Z,紐約洋基 @ 芝加哥白襪,10000,4.53,4.63,9.16,0.408,0.592,2.45,1.69,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.35,4.08,7.43,9.0,,,無大小分盤口
823026,2026-07-29 07:45,2026-07-28T23:45:00Z,芝加哥小熊 @ 聖路易紅雀,10000,5.46,4.49,9.95,0.548,0.452,1.82,2.21,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,6.76,2.37,9.14,10.0,,,無大小分盤口
824003,2026-07-29 09:38,2026-07-29T01:38:00Z,休士頓太空人 @ 洛杉磯天使,10000,4.88,4.22,9.1,0.5828,0.4172,1.72,2.40,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.42,2.42,5.85,9.0,,,無大小分盤口
823275,2026-07-29 09:40,2026-07-29T01:40:00Z,科羅拉多洛磯 @ 聖地牙哥教士,10000,4.85,5.57,10.42,0.4011,0.5989,2.49,1.67,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.9,1.92,6.82,10.5,,,無大小分盤口
824976,2026-07-29 09:40,2026-07-29T01:40:00Z,波士頓紅襪 @ 運動家,10000,5.93,3.96,9.89,0.7417,0.2583,1.35,3.87,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.59,4.14,6.73,10.0,,,無大小分盤口
823193,2026-07-29 09:45,2026-07-29T01:45:00Z,密爾瓦基釀酒人 @ 舊金山巨人,10000,5.16,4.62,9.78,0.451,0.549,2.22,1.82,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.19,4.59,8.78,10.0,,,無大小分盤口
823923,2026-07-29 10:10,2026-07-29T02:10:00Z,西雅圖水手 @ 洛杉磯道奇,10000,4.45,4.77,9.22,0.5156,0.4844,1.94,2.06,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.69,5.35,8.04,9.0,,,無大小分盤口
