game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
822700,2026-08-10 00:15,2026-08-09T16:15:00Z,辛辛那提紅人 @ 華盛頓國民,10000,3.92,4.42,8.34,0.3567,0.6433,2.80,1.55,DraftKings,-108,+101,-0.1625,0.1458,華盛頓國民,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.21,3.42,5.62,8.5,,,無大小分盤口
823345,2026-08-10 01:35,2026-08-09T17:35:00Z,紐約大都會 @ 匹茲堡海盜,10000,3.78,4.1,7.88,0.4898,0.5102,2.04,1.96,DraftKings,+128,-137,0.0512,-0.0679,紐約大都會,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.09,2.88,5.97,8.0,,,無大小分盤口
823425,2026-08-10 01:35,2026-08-09T17:35:00Z,多倫多藍鳥 @ 費城費城人,10000,3.69,4.86,8.55,0.3511,0.6489,2.85,1.54,DraftKings,+179,-192,-0.0073,-0.0086,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.38,3.67,6.06,8.5,,,無大小分盤口
823513,2026-08-10 01:35,2026-08-09T17:35:00Z,亞特蘭大勇士 @ 紐約洋基,10000,3.98,4.03,8.01,0.5249,0.4751,1.91,2.10,DraftKings,+132,-142,0.0939,-0.1117,亞特蘭大勇士,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,5.22,3.41,8.62,8.0,,,無大小分盤口
824724,2026-08-10 01:35,2026-08-09T17:35:00Z,運動家 @ 波士頓紅襪,10000,3.69,5.39,9.08,0.383,0.617,2.61,1.62,DraftKings,+230,-249,0.08,-0.0965,運動家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.19,3.95,7.14,9.0,,,無大小分盤口
823835,2026-08-10 01:40,2026-08-09T17:40:00Z,洛杉磯天使 @ 邁阿密馬林魚,10000,3.52,4.45,7.97,0.3032,0.6968,3.30,1.44,DraftKings,+132,-142,-0.1278,0.11,邁阿密馬林魚,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.48,2.4,3.88,8.0,,,無大小分盤口
823751,2026-08-10 02:10,2026-08-09T18:10:00Z,明尼蘇達雙城 @ 密爾瓦基釀酒人,10000,3.45,4.85,8.3,0.3688,0.6312,2.71,1.58,DraftKings,+228,-247,0.0639,-0.0806,明尼蘇達雙城,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.57,3.21,6.78,8.5,,,無大小分盤口
824078,2026-08-10 02:10,2026-08-09T18:10:00Z,芝加哥小熊 @ 堪薩斯市皇家,10000,4.6,3.5,8.1,0.5515,0.4485,1.81,2.23,DraftKings,-152,+142,-0.0517,0.0353,堪薩斯市皇家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,6.33,3.03,9.36,8.0,,,無大小分盤口
824564,2026-08-10 02:10,2026-08-09T18:10:00Z,克里夫蘭守護者 @ 芝加哥白襪,10000,4.2,4.38,8.58,0.4587,0.5413,2.18,1.85,DraftKings,-105,-102,-0.0535,0.0363,芝加哥白襪,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.7,2.69,5.39,8.5,,,無大小分盤口
823020,2026-08-10 02:15,2026-08-09T18:15:00Z,科羅拉多洛磯 @ 聖路易紅雀,10000,4.31,4.53,8.84,0.4167,0.5833,2.40,1.71,DraftKings,+147,-158,0.0118,-0.0291,科羅拉多洛磯,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.49,1.28,5.78,9.0,,,無大小分盤口
822862,2026-08-10 02:35,2026-08-09T18:35:00Z,巴爾的摩金鶯 @ 德州遊騎兵,10000,3.27,3.99,7.26,0.3913,0.6087,2.56,1.64,DraftKings,+121,-130,-0.0612,0.0435,德州遊騎兵,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.44,3.0,5.44,7.5,,,無大小分盤口
