model,predictions,correct,wrong,accuracy_pct,high_confidence_predictions,high_confidence_accuracy_pct
A-畢氏勝率,1226,664,562,54.16,398,56.28
F-進階因子代理,1226,652,574,53.18,955,52.67
B-近期狀態,1226,644,582,52.53,877,53.25
E-對照組(Ensemble),1226,643,583,52.45,628,54.94
C-ELO評分,1226,637,589,51.96,803,53.92
D-近期失分代理,1226,637,589,51.96,814,52.46
