date,game_pk,sportsbook,captured_at_tw,matchup_zh,prediction_zh,moneyline,confidence,market_implied_prob,edge,unit,status,settlement
2026-06-26,824255,DraftKings,2026-06-26T23:16:30,休士頓太空人 @ 底特律老虎,底特律老虎,-115,0.5364,0.5349,0.0015,100.0,Scheduled,pending
2026-06-26,824014,DraftKings,2026-06-26T23:16:30,運動家 @ 洛杉磯天使,洛杉磯天使,109,0.5051,0.4785,0.0266,100.0,Scheduled,pending
