game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
824638,2026-08-29 02:20,2026-08-28T18:20:00Z,辛辛那提紅人 @ 芝加哥小熊,10000,3.87,5.58,9.45,0.28,0.72,3.57,1.39,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.98,3.85,5.82,9.5,,,無大小分盤口
824231,2026-08-29 06:40,2026-08-28T22:40:00Z,洛杉磯道奇 @ 底特律老虎,10000,4.32,4.06,8.38,0.5,0.5,2.00,2.00,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.96,3.66,7.63,8.5,,,無大小分盤口
822691,2026-08-29 06:45,2026-08-28T22:45:00Z,邁阿密馬林魚 @ 華盛頓國民,10000,4.83,4.19,9.02,0.586,0.414,1.71,2.42,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.15,3.09,5.24,9.0,,,無大小分盤口
822935,2026-08-29 07:10,2026-08-28T23:10:00Z,聖地牙哥教士 @ 坦帕灣光芒,10000,3.73,4.24,7.97,0.3556,0.6444,2.81,1.55,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.56,4.98,8.55,8.0,,,無大小分盤口
823583,2026-08-29 07:10,2026-08-28T23:10:00Z,休士頓太空人 @ 紐約大都會,10000,4.08,4.76,8.84,0.3707,0.6293,2.70,1.59,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.2,2.7,5.89,9.0,,,無大小分盤口
824396,2026-08-29 07:10,2026-08-28T23:10:00Z,堪薩斯市皇家 @ 克里夫蘭守護者,10000,4.17,3.88,8.05,0.5108,0.4892,1.96,2.04,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.12,3.72,7.84,8.0,,,無大小分盤口
822769,2026-08-29 07:15,2026-08-28T23:15:00Z,西雅圖水手 @ 多倫多藍鳥,10000,3.56,4.76,8.32,0.3051,0.6949,3.28,1.44,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.76,2.8,5.56,8.5,,,無大小分盤口
823504,2026-08-29 07:15,2026-08-28T23:15:00Z,波士頓紅襪 @ 紐約洋基,10000,4.4,4.6,9.0,0.4476,0.5524,2.23,1.81,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,6.49,3.25,9.74,9.0,,,無大小分盤口
824877,2026-08-29 07:15,2026-08-28T23:15:00Z,科羅拉多洛磯 @ 亞特蘭大勇士,10000,4.07,4.89,8.96,0.3401,0.6599,2.94,1.52,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.6,2.21,5.82,9.0,,,無大小分盤口
823744,2026-08-29 07:40,2026-08-28T23:40:00Z,德州遊騎兵 @ 密爾瓦基釀酒人,10000,3.36,4.69,8.05,0.3585,0.6415,2.79,1.56,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.95,5.09,9.04,8.0,,,無大小分盤口
823666,2026-08-29 08:10,2026-08-29T00:10:00Z,芝加哥白襪 @ 明尼蘇達雙城,10000,4.84,4.85,9.69,0.5715,0.4285,1.75,2.33,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.56,2.7,6.25,9.5,,,無大小分盤口
823013,2026-08-29 08:15,2026-08-29T00:15:00Z,匹茲堡海盜 @ 聖路易紅雀,10000,4.64,4.51,9.15,0.5328,0.4672,1.88,2.14,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.84,3.23,5.07,9.0,,,無大小分盤口
823985,2026-08-29 09:38,2026-08-29T01:38:00Z,費城費城人 @ 洛杉磯天使,10000,4.75,3.88,8.63,0.5645,0.4355,1.77,2.30,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,5.26,1.8,7.06,8.5,,,無大小分盤口
824960,2026-08-29 09:40,2026-08-29T01:40:00Z,巴爾的摩金鶯 @ 運動家,10000,4.77,4.31,9.08,0.6012,0.3988,1.66,2.51,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.34,3.16,5.5,9.0,,,無大小分盤口
823178,2026-08-29 10:15,2026-08-29T02:15:00Z,亞利桑那響尾蛇 @ 舊金山巨人,10000,4.66,3.84,8.5,0.5399,0.4601,1.85,2.17,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.08,2.13,6.21,8.5,,,無大小分盤口
