game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
822716,2026-07-04 23:05,2026-07-04T15:05:00Z,匹茲堡海盜 @ 華盛頓國民,10000,4.48,4.0,8.47,0.5155,0.4845,1.94,2.06,台灣運彩,1.43,2.15,-0.1838,0.0194,華盛頓國民,official_mlb_boxscore,10.5,0.2884,0.7116,小分
823526,2026-07-05 01:35,2026-07-04T17:35:00Z,明尼蘇達雙城 @ 紐約洋基,10000,5.09,3.09,8.18,0.6683,0.3317,1.50,3.01,台灣運彩,2.33,1.38,0.2391,-0.3929,明尼蘇達雙城,projected_recent_lineup_order,9.5,0.3323,0.6677,小分
822882,2026-07-05 04:05,2026-07-04T20:05:00Z,底特律老虎 @ 德州遊騎兵,10000,3.44,3.09,6.53,0.5037,0.4963,1.99,2.01,台灣運彩,1.65,1.85,-0.1024,-0.0442,不推薦,projected_recent_lineup_order,7.5,0.3414,0.6586,小分
823118,2026-07-05 04:10,2026-07-04T20:10:00Z,多倫多藍鳥 @ 西雅圖水手,10000,3.9,2.1,6.0,0.6686,0.3314,1.50,3.02,台灣運彩,2.10,1.45,0.1924,-0.3583,多倫多藍鳥,projected_recent_lineup_order,7.5,0.2916,0.7084,小分
824171,2026-07-05 07:10,2026-07-04T23:10:00Z,坦帕灣光芒 @ 休士頓太空人,10000,3.88,4.24,8.12,0.4283,0.5717,2.33,1.75,台灣運彩,1.70,1.80,-0.1599,0.0161,休士頓太空人,projected_recent_lineup_order,7.5,0.5046,0.4954,大分
824415,2026-07-05 07:10,2026-07-04T23:10:00Z,芝加哥白襪 @ 克里夫蘭守護者,10000,4.64,2.48,7.12,0.6886,0.3114,1.45,3.21,台灣運彩,2.00,1.50,0.1886,-0.3553,芝加哥白襪,projected_recent_lineup_order,7.5,0.4065,0.5935,小分
824499,2026-07-05 07:10,2026-07-04T23:10:00Z,巴爾的摩金鶯 @ 辛辛那提紅人,10000,3.07,2.95,6.02,0.4749,0.5251,2.11,1.90,台灣運彩,1.88,1.62,-0.057,-0.0922,不推薦,projected_recent_lineup_order,9.5,0.1507,0.8493,小分
824658,2026-07-05 08:08,2026-07-05T00:08:00Z,聖路易紅雀 @ 芝加哥小熊,10000,4.83,4.86,9.69,0.4675,0.5325,2.14,1.88,台灣運彩,2.07,1.46,-0.0156,-0.1524,不推薦,projected_recent_lineup_order,8.5,0.5606,0.4394,大分
824903,2026-07-05 08:08,2026-07-05T00:08:00Z,紐約大都會 @ 亞特蘭大勇士,10000,3.11,1.86,4.97,0.6196,0.3804,1.61,2.63,台灣運彩,2.20,1.42,0.1651,-0.3238,紐約大都會,projected_recent_lineup_order,8.5,0.1309,0.8691,小分
824092,2026-07-05 08:10,2026-07-05T00:10:00Z,費城費城人 @ 堪薩斯市皇家,10000,4.27,2.72,6.99,0.642,0.358,1.56,2.79,台灣運彩,1.48,2.05,-0.0337,-0.1298,不推薦,projected_recent_lineup_order,8.5,0.3098,0.6902,小分
824334,2026-07-05 08:10,2026-07-05T00:10:00Z,舊金山巨人 @ 科羅拉多洛磯,10000,2.64,6.43,9.08,0.1554,0.8446,6.44,1.18,台灣運彩,1.58,1.92,-0.4775,0.3238,科羅拉多洛磯,projected_recent_lineup_order,11.5,0.2698,0.7302,小分
824012,2026-07-05 09:38,2026-07-05T01:38:00Z,波士頓紅襪 @ 洛杉磯天使,10000,2.83,3.61,6.44,0.3732,0.6268,2.68,1.60,台灣運彩,1.43,2.15,-0.3261,0.1617,洛杉磯天使,projected_recent_lineup_order,8.5,0.2615,0.7385,小分
824983,2026-07-05 09:40,2026-07-05T01:40:00Z,邁阿密馬林魚 @ 運動家,10000,3.0,4.35,7.34,0.3288,0.6712,3.04,1.49,台灣運彩,1.65,1.85,-0.2773,0.1307,運動家,projected_recent_lineup_order,10.5,0.1956,0.8044,小分
825063,2026-07-05 09:40,2026-07-05T01:40:00Z,密爾瓦基釀酒人 @ 亞利桑那響尾蛇,10000,3.82,4.48,8.3,0.408,0.592,2.45,1.69,台灣運彩,1.48,2.05,-0.2677,0.1042,亞利桑那響尾蛇,projected_recent_lineup_order,9.5,0.3432,0.6568,小分
823932,2026-07-05 10:10,2026-07-05T02:10:00Z,聖地牙哥教士 @ 洛杉磯道奇,10000,3.86,3.31,7.17,0.5256,0.4744,1.90,2.11,台灣運彩,2.85,1.25,0.1747,-0.3256,聖地牙哥教士,projected_recent_lineup_order,8.5,0.3281,0.6719,小分
