date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,moneyline,confidence,market_implied_prob,edge,unit,status,settlement
2026-07-03,823120,2026-07-04 10:10,2026-07-04T02:10:00Z,台灣運彩,2026-07-03T21:01:05,多倫多藍鳥 @ 西雅圖水手,西雅圖水手,1.9,0.528,0.5263,0.0017,100.0,Scheduled,pending
2026-07-03,822714,2026-07-04 06:45,2026-07-03T22:45:00Z,台灣運彩,2026-07-03T21:01:05,匹茲堡海盜 @ 華盛頓國民,匹茲堡海盜,1.98,0.51,0.5051,0.0049,100.0,Scheduled,pending
