game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
823342,2026-08-20 00:35,2026-08-19T16:35:00Z,底特律老虎 @ 匹茲堡海盜,10000,5.42,4.41,9.83,0.5884,0.4116,1.70,2.43,DraftKings,+123,-149,0.14,-0.1868,底特律老虎,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,5.42,2.88,8.3,10.0,,,無大小分盤口
823587,2026-08-20 01:10,2026-08-19T17:10:00Z,聖地牙哥教士 @ 紐約大都會,10000,4.58,4.0,8.58,0.5596,0.4404,1.79,2.27,DraftKings,-131,+108,-0.0075,-0.0404,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.02,4.06,7.09,8.5,,,無大小分盤口
823664,2026-08-20 01:40,2026-08-19T17:40:00Z,亞特蘭大勇士 @ 明尼蘇達雙城,10000,4.56,4.28,8.84,0.4503,0.5497,2.22,1.82,DraftKings,-126,+104,-0.1072,0.0595,明尼蘇達雙城,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.84,3.34,6.18,9.0,,,無大小分盤口
824640,2026-08-20 02:20,2026-08-19T18:20:00Z,芝加哥白襪 @ 芝加哥小熊,10000,4.37,5.09,9.46,0.4784,0.5216,2.09,1.92,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.58,4.47,9.05,9.5,,,無大小分盤口
824722,2026-08-20 04:10,2026-08-19T20:10:00Z,亞利桑那響尾蛇 @ 波士頓紅襪,10000,3.98,4.96,8.94,0.3796,0.6204,2.63,1.61,DraftKings,+123,-149,-0.0688,0.022,波士頓紅襪,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.51,5.69,10.2,9.0,,,無大小分盤口
823424,2026-08-20 06:05,2026-08-19T22:05:00Z,邁阿密馬林魚 @ 費城費城人,10000,4.51,4.8,9.31,0.495,0.505,2.02,1.98,DraftKings,+105,-127,0.0072,-0.0545,邁阿密馬林魚,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.28,4.93,8.21,9.5,,,無大小分盤口
824801,2026-08-20 06:35,2026-08-19T22:35:00Z,紐約洋基 @ 巴爾的摩金鶯,10000,4.63,3.82,8.45,0.6592,0.3408,1.52,2.93,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.06,3.54,5.59,8.5,,,無大小分盤口
822937,2026-08-20 06:40,2026-08-19T22:40:00Z,多倫多藍鳥 @ 坦帕灣光芒,10000,3.69,4.8,8.49,0.3845,0.6155,2.60,1.62,DraftKings,+183,-224,0.0311,-0.0759,多倫多藍鳥,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.25,4.03,7.28,8.5,,,無大小分盤口
824394,2026-08-20 06:40,2026-08-19T22:40:00Z,舊金山巨人 @ 克里夫蘭守護者,10000,3.49,3.94,7.43,0.3893,0.6107,2.57,1.64,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.92,2.21,5.13,7.5,,,無大小分盤口
824476,2026-08-20 06:40,2026-08-19T22:40:00Z,聖路易紅雀 @ 辛辛那提紅人,10000,4.11,3.82,7.93,0.4852,0.5148,2.06,1.94,DraftKings,+113,-136,0.0157,-0.0615,聖路易紅雀,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.7,2.2,5.9,8.0,,,無大小分盤口
823748,2026-08-20 07:40,2026-08-19T23:40:00Z,西雅圖水手 @ 密爾瓦基釀酒人,10000,3.7,4.08,7.78,0.4386,0.5614,2.28,1.78,DraftKings,+108,-131,-0.0422,-0.0057,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.87,3.0,5.87,8.0,,,無大小分盤口
824076,2026-08-20 07:40,2026-08-19T23:40:00Z,運動家 @ 堪薩斯市皇家,10000,4.0,4.9,8.9,0.4176,0.5824,2.39,1.72,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.76,1.71,4.46,9.0,,,無大小分盤口
822860,2026-08-20 08:05,2026-08-20T00:05:00Z,華盛頓國民 @ 德州遊騎兵,10000,4.44,3.88,8.32,0.5723,0.4277,1.75,2.34,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.82,1.61,5.43,8.5,,,無大小分盤口
824155,2026-08-20 08:10,2026-08-20T00:10:00Z,洛杉磯天使 @ 休士頓太空人,10000,3.29,4.34,7.63,0.2945,0.7055,3.40,1.42,DraftKings,+139,-168,-0.1239,0.0786,休士頓太空人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.07,3.81,5.88,7.5,,,無大小分盤口
824318,2026-08-20 08:40,2026-08-20T00:40:00Z,洛杉磯道奇 @ 科羅拉多洛磯,10000,5.66,4.91,10.57,0.6355,0.3645,1.57,2.74,DraftKings,-193,+158,-0.0232,-0.0231,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.22,3.91,6.13,10.5,,,無大小分盤口
