game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
824469,2026-09-07 00:10,2026-09-06T16:10:00Z,密爾瓦基釀酒人 @ 辛辛那提紅人,10000,5.73,3.93,9.66,0.5887,0.4113,1.70,2.43,DraftKings,-162,+134,-0.0296,-0.0161,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.52,3.58,8.1,9.5,,,無大小分盤口
823417,2026-09-07 01:10,2026-09-06T17:10:00Z,亞特蘭大勇士 @ 費城費城人,10000,3.7,4.43,8.13,0.3822,0.6178,2.62,1.62,DraftKings,-109,-110,-0.1393,0.094,費城費城人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.32,4.41,7.73,8.0,,,無大小分盤口
823336,2026-09-07 01:35,2026-09-06T17:35:00Z,洛杉磯天使 @ 匹茲堡海盜,10000,3.61,3.81,7.42,0.4244,0.5756,2.36,1.74,DraftKings,+163,-198,0.0442,-0.0888,洛杉磯天使,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.39,3.06,5.45,7.5,,,無大小分盤口
824794,2026-09-07 01:35,2026-09-06T17:35:00Z,波士頓紅襪 @ 巴爾的摩金鶯,10000,4.55,3.98,8.53,0.5597,0.4403,1.79,2.27,DraftKings,-136,+113,-0.0166,-0.0292,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.58,3.09,6.67,8.5,,,無大小分盤口
823578,2026-09-07 01:40,2026-09-06T17:40:00Z,舊金山巨人 @ 紐約大都會,10000,4.2,4.34,8.54,0.4611,0.5389,2.17,1.86,DraftKings,+123,-149,0.0127,-0.0595,舊金山巨人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.22,3.49,6.71,8.5,,,無大小分盤口
823822,2026-09-07 01:40,2026-09-06T17:40:00Z,芝加哥小熊 @ 邁阿密馬林魚,10000,5.52,4.14,9.66,0.557,0.443,1.80,2.26,DraftKings,-149,+123,-0.0414,-0.0054,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,6.44,3.07,9.52,9.5,,,無大小分盤口
824385,2026-09-07 01:40,2026-09-06T17:40:00Z,底特律老虎 @ 克里夫蘭守護者,10000,3.89,4.71,8.6,0.3652,0.6348,2.74,1.58,DraftKings,+139,-168,-0.0532,0.0079,克里夫蘭守護者,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.14,2.64,5.78,8.5,,,無大小分盤口
824065,2026-09-07 02:10,2026-09-06T18:10:00Z,多倫多藍鳥 @ 堪薩斯市皇家,10000,4.42,4.36,8.78,0.4875,0.5125,2.05,1.95,DraftKings,-120,+100,-0.058,0.0125,堪薩斯市皇家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.49,4.28,8.77,9.0,,,無大小分盤口
824142,2026-09-07 02:10,2026-09-06T18:10:00Z,亞利桑那響尾蛇 @ 休士頓太空人,10000,4.2,4.22,8.42,0.4867,0.5133,2.05,1.95,DraftKings,-108,-112,-0.0325,-0.015,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.39,3.14,6.54,8.5,,,無大小分盤口
822848,2026-09-07 02:35,2026-09-06T18:35:00Z,坦帕灣光芒 @ 德州遊騎兵,10000,4.32,4.47,8.79,0.5355,0.4645,1.87,2.15,DraftKings,-108,-112,0.0163,-0.0638,坦帕灣光芒,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.34,2.74,6.08,9.0,,,無大小分盤口
