date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,unified_decision,unified_direction,score_pick_zh,score_alignment,monte_carlo_totals_pick_zh,official_totals_pick_zh,totals_alignment,moneyline,confidence,market_implied_prob,edge,unit,status,settlement,skip_reason,ticket_tier
2026-08-03,824324,2026-08-04 08:40,2026-08-04T00:40:00Z,,,坦帕灣光芒 @ 科羅拉多洛磯,坦帕灣光芒,大小分未統一,不推薦,坦帕灣光芒,一致,小分,小分,等待官方打線,,0.5912,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-08-03,823520,2026-08-04 07:05,2026-08-03T23:05:00Z,,,聖路易紅雀 @ 紐約洋基,紐約洋基,大小分未統一,不推薦,紐約洋基,一致,大分,大分,等待官方打線,,0.5778,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-08-03,823757,2026-08-04 07:40,2026-08-03T23:40:00Z,,,匹茲堡海盜 @ 密爾瓦基釀酒人,密爾瓦基釀酒人,大小分未統一,不推薦,密爾瓦基釀酒人,一致,大分,大分,等待官方打線,,0.5777,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-08-03,823431,2026-08-04 06:40,2026-08-03T22:40:00Z,,,華盛頓國民 @ 費城費城人,費城費城人,大小分未統一,不推薦,費城費城人,一致,大分,大分,等待官方打線,,0.5769,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-08-03,822867,2026-08-04 08:05,2026-08-04T00:05:00Z,,,舊金山巨人 @ 德州遊騎兵,德州遊騎兵,勝方與大小分未統一,不推薦,舊金山巨人,模型分歧,大分,大分,等待官方打線,,0.5338,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-08-03,824160,2026-08-04 08:10,2026-08-04T00:10:00Z,,,多倫多藍鳥 @ 休士頓太空人,休士頓太空人,勝方與大小分未統一,不推薦,休士頓太空人,一致,大分,大分,等待官方打線,,0.5154,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-08-03,824647,2026-08-04 08:05,2026-08-04T00:05:00Z,,,洛杉磯道奇 @ 芝加哥小熊,芝加哥小熊,勝方與大小分未統一,不推薦,芝加哥小熊,一致,大分,大分,等待官方打線,,0.5131,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-08-03,825095,2026-08-04 09:40,2026-08-04T01:40:00Z,,,聖地牙哥教士 @ 亞利桑那響尾蛇,亞利桑那響尾蛇,勝方與大小分未統一,不推薦,亞利桑那響尾蛇,一致,大分,大分,等待官方打線,,0.5078,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
