game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
823337,2026-09-04 00:35,2026-09-03T16:35:00Z,舊金山巨人 @ 匹茲堡海盜,10000,4.15,4.43,8.58,0.4206,0.5794,2.38,1.73,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.75,2.9,6.65,8.5,,,無大小分盤口
824388,2026-09-04 01:10,2026-09-03T17:10:00Z,多倫多藍鳥 @ 克里夫蘭守護者,10000,4.0,4.11,8.11,0.4705,0.5295,2.13,1.89,DraftKings,-110,-110,-0.0533,0.0057,克里夫蘭守護者,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.67,3.36,8.03,8.0,,,無大小分盤口
824144,2026-09-04 02:10,2026-09-03T18:10:00Z,芝加哥白襪 @ 休士頓太空人,10000,4.37,4.49,8.86,0.5217,0.4783,1.92,2.09,DraftKings,+134,-162,0.0943,-0.14,芝加哥白襪,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.17,2.68,5.86,9.0,,,無大小分盤口
824632,2026-09-04 07:15,2026-09-03T23:15:00Z,密爾瓦基釀酒人 @ 芝加哥小熊,10000,5.15,5.25,10.4,0.5047,0.4953,1.98,2.02,DraftKings,-112,-107,-0.0236,-0.0216,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.5,8.36,12.87,10.5,,,無大小分盤口
824796,2026-09-04 07:15,2026-09-03T23:15:00Z,波士頓紅襪 @ 巴爾的摩金鶯,10000,4.73,4.48,9.21,0.5071,0.4929,1.97,2.03,DraftKings,-126,+104,-0.0504,0.0027,巴爾的摩金鶯,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.82,3.7,7.51,9.0,,,無大小分盤口
824069,2026-09-04 07:40,2026-09-03T23:40:00Z,邁阿密馬林魚 @ 堪薩斯市皇家,10000,3.68,4.67,8.35,0.4322,0.5678,2.31,1.76,DraftKings,-123,+102,-0.1194,0.0728,堪薩斯市皇家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.57,3.94,7.51,8.5,,,無大小分盤口
822853,2026-09-04 08:05,2026-09-04T00:05:00Z,坦帕灣光芒 @ 德州遊騎兵,10000,4.48,4.18,8.66,0.4958,0.5042,2.02,1.98,DraftKings,-131,+109,-0.0713,0.0257,德州遊騎兵,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.48,2.9,7.38,8.5,,,無大小分盤口
823095,2026-09-04 09:40,2026-09-04T01:40:00Z,運動家 @ 西雅圖水手,10000,5.03,5.02,10.05,0.4263,0.5737,2.35,1.74,DraftKings,+169,-207,0.0546,-0.1006,運動家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.07,1.98,5.05,10.0,,,無大小分盤口
823907,2026-09-04 10:10,2026-09-04T02:10:00Z,聖路易紅雀 @ 洛杉磯道奇,10000,3.9,4.87,8.77,0.334,0.666,2.99,1.50,DraftKings,+246,-311,0.045,-0.0907,聖路易紅雀,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.6,2.44,7.04,9.0,,,無大小分盤口
