game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
822950,2026-07-27 00:15,2026-07-26T16:15:00Z,克里夫蘭守護者 @ 坦帕灣光芒,10000,3.04,3.87,6.91,0.3937,0.6063,2.54,1.65,台灣運彩,1.92,1.58,-0.1271,-0.0266,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.01,3.94,6.95,7.5,0.3886,0.6114,小分
822706,2026-07-27 01:35,2026-07-26T17:35:00Z,亞利桑那響尾蛇 @ 華盛頓國民,10000,4.86,4.58,9.44,0.5505,0.4495,1.82,2.22,台灣運彩,1.63,1.87,-0.063,-0.0853,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.97,6.21,10.18,9.5,0.4351,0.5649,小分
823354,2026-07-27 01:35,2026-07-26T17:35:00Z,芝加哥小熊 @ 匹茲堡海盜,10000,4.67,4.25,8.93,0.5322,0.4678,1.88,2.14,台灣運彩,1.88,1.62,0.0003,-0.1495,芝加哥小熊,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.92,4.3,9.22,8.5,0.5251,0.4749,大分
824730,2026-07-27 01:35,2026-07-26T17:35:00Z,多倫多藍鳥 @ 波士頓紅襪,10000,2.96,4.46,7.42,0.2858,0.7142,3.50,1.40,台灣運彩,1.90,1.60,-0.2405,0.0892,波士頓紅襪,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.1,3.53,6.63,8.5,0.3584,0.6416,小分
824810,2026-07-27 01:35,2026-07-26T17:35:00Z,亞特蘭大勇士 @ 巴爾的摩金鶯,10000,4.54,3.98,8.52,0.5858,0.4142,1.71,2.41,台灣運彩,1.87,1.63,0.051,-0.1993,亞特蘭大勇士,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,5.21,2.81,8.02,9.5,0.3224,0.6776,小分
823599,2026-07-27 01:40,2026-07-26T17:40:00Z,洛杉磯道奇 @ 紐約大都會,10000,4.69,3.64,8.33,0.6215,0.3785,1.61,2.64,台灣運彩,1.42,2.20,-0.0827,-0.076,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.75,2.71,6.46,8.5,0.4414,0.5586,小分
823840,2026-07-27 01:40,2026-07-26T17:40:00Z,聖地牙哥教士 @ 邁阿密馬林魚,10000,4.12,4.37,8.49,0.4531,0.5469,2.21,1.83,台灣運彩,1.95,1.55,-0.0597,-0.0983,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.18,3.29,6.47,8.5,0.4474,0.5526,小分
824246,2026-07-27 01:40,2026-07-26T17:40:00Z,堪薩斯市皇家 @ 底特律老虎,10000,3.3,4.08,7.38,0.3887,0.6113,2.57,1.64,台灣運彩,2.70,1.28,0.0183,-0.17,堪薩斯市皇家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.12,2.41,5.54,7.5,0.4357,0.5643,小分
823678,2026-07-27 02:10,2026-07-26T18:10:00Z,運動家 @ 明尼蘇達雙城,10000,3.91,4.91,8.82,0.3318,0.6682,3.01,1.50,台灣運彩,2.00,1.50,-0.1682,0.0015,明尼蘇達雙城,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.46,2.06,4.52,9.5,0.3117,0.6883,小分
823755,2026-07-27 02:10,2026-07-26T18:10:00Z,科羅拉多洛磯 @ 密爾瓦基釀酒人,10000,3.73,4.98,8.71,0.3494,0.6506,2.86,1.54,台灣運彩,2.60,1.30,-0.0352,-0.1186,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.8,2.48,7.29,8.5,0.4279,0.5721,小分
824572,2026-07-27 02:10,2026-07-26T18:10:00Z,休士頓太空人 @ 芝加哥白襪,10000,3.98,4.5,8.48,0.3861,0.6139,2.59,1.63,台灣運彩,1.97,1.53,-0.1215,-0.0397,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.4,2.72,7.12,8.5,0.4101,0.5899,小分
823028,2026-07-27 02:15,2026-07-26T18:15:00Z,辛辛那提紅人 @ 聖路易紅雀,10000,3.17,3.81,6.98,0.3929,0.6071,2.55,1.65,台灣運彩,2.15,1.43,-0.0722,-0.0922,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.55,3.12,5.67,8.5,0.2575,0.7425,小分
822870,2026-07-27 02:35,2026-07-26T18:35:00Z,西雅圖水手 @ 德州遊騎兵,10000,3.76,3.66,7.42,0.573,0.427,1.75,2.34,台灣運彩,1.65,1.85,-0.0331,-0.1135,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.59,4.77,7.37,7.5,0.4274,0.5726,小分
823194,2026-07-27 04:05,2026-07-26T20:05:00Z,洛杉磯天使 @ 舊金山巨人,10000,3.2,4.22,7.42,0.3747,0.6253,2.67,1.60,台灣運彩,2.10,1.45,-0.1015,-0.0644,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.51,3.17,5.68,7.5,0.455,0.545,小分
823433,2026-07-27 07:20,2026-07-26T23:20:00Z,紐約洋基 @ 費城費城人,10000,3.59,3.67,7.26,0.4882,0.5118,2.05,1.95,台灣運彩,1.85,1.65,-0.0523,-0.0943,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.08,3.16,6.24,7.5,0.4226,0.5774,小分
