game_pk,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
824661,聖地牙哥教士 @ 芝加哥小熊,10000,2.22,6.0,8.22,0.1421,0.8579,7.04,1.17,台灣運彩,2.07,1.46,-0.341,0.173,芝加哥小熊,projected_recent_lineup_order,11.5,0.2044,0.7956,小分
824338,邁阿密馬林魚 @ 科羅拉多洛磯,10000,2.11,4.88,6.99,0.1836,0.8164,5.45,1.22,台灣運彩,1.55,1.95,-0.4616,0.3036,科羅拉多洛磯,projected_recent_lineup_order,11.5,0.1186,0.8814,小分
824742,華盛頓國民 @ 波士頓紅襪,10000,5.29,2.29,7.58,0.7722,0.2278,1.30,4.39,台灣運彩,1.94,1.56,0.2567,-0.4132,華盛頓國民,projected_recent_lineup_order,9.5,0.2833,0.7167,小分
824907,聖路易紅雀 @ 亞特蘭大勇士,10000,4.55,2.03,6.58,0.7415,0.2585,1.35,3.87,台灣運彩,2.10,1.45,0.2653,-0.4312,聖路易紅雀,projected_recent_lineup_order,9.5,0.1989,0.8011,小分
824984,洛杉磯道奇 @ 運動家,10000,3.9,6.48,10.38,0.2587,0.7413,3.87,1.35,台灣運彩,1.36,2.40,-0.4766,0.3246,運動家,projected_recent_lineup_order,10.5,0.4506,0.5494,小分
824096,坦帕灣光芒 @ 堪薩斯市皇家,10000,2.32,4.03,6.35,0.2734,0.7266,3.66,1.38,台灣運彩,1.63,1.87,-0.3401,0.1918,堪薩斯市皇家,projected_recent_lineup_order,9.5,0.1747,0.8253,小分
824418,德州遊騎兵 @ 克里夫蘭守護者,10000,3.98,2.02,6.01,0.6891,0.3109,1.45,3.22,台灣運彩,1.65,1.85,0.083,-0.2296,德州遊騎兵,projected_recent_lineup_order,7.5,0.2946,0.7054,小分
823768,辛辛那提紅人 @ 密爾瓦基釀酒人,10000,2.79,4.12,6.91,0.3199,0.6801,3.13,1.47,台灣運彩,2.20,1.42,-0.1346,-0.0241,不推薦,projected_recent_lineup_order,8.5,0.3029,0.6971,小分
824175,明尼蘇達雙城 @ 休士頓太空人,10000,4.19,2.64,6.83,0.6439,0.3561,1.55,2.81,台灣運彩,1.66,1.84,0.0415,-0.1874,明尼蘇達雙城,projected_recent_lineup_order,8.5,0.2951,0.7049,小分
823528,底特律老虎 @ 紐約洋基,10000,3.75,4.42,8.17,0.4027,0.5973,2.48,1.67,台灣運彩,2.07,1.46,-0.0804,-0.0876,不推薦,projected_recent_lineup_order,7.5,0.5041,0.4959,大分
823122,洛杉磯天使 @ 西雅圖水手,10000,3.43,2.46,5.89,0.5809,0.4191,1.72,2.39,台灣運彩,2.30,1.40,0.1461,-0.2952,洛杉磯天使,projected_recent_lineup_order,7.5,0.2804,0.7196,小分
824819,芝加哥白襪 @ 巴爾的摩金鶯,10000,2.88,3.08,5.96,0.4368,0.5632,2.29,1.78,台灣運彩,1.92,1.58,-0.084,-0.0697,不推薦,projected_recent_lineup_order,10.5,0.1053,0.8947,小分
823445,匹茲堡海盜 @ 費城費城人,10000,4.61,3.68,8.29,0.5577,0.4423,1.79,2.26,台灣運彩,2.60,1.30,0.1731,-0.3269,匹茲堡海盜,projected_recent_lineup_order,8.5,0.4378,0.5622,小分
822793,紐約大都會 @ 多倫多藍鳥,10000,2.64,2.59,5.23,0.4608,0.5392,2.17,1.85,台灣運彩,1.85,1.65,-0.0797,-0.0669,不推薦,projected_recent_lineup_order,7.5,0.2091,0.7909,小分
825066,舊金山巨人 @ 亞利桑那響尾蛇,10000,2.97,2.54,5.51,0.5162,0.4838,1.94,2.07,台灣運彩,1.76,1.74,-0.052,-0.0909,不推薦,projected_recent_lineup_order,8.5,0.1751,0.8249,小分
