date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,unified_decision,unified_direction,score_pick_zh,score_alignment,monte_carlo_totals_pick_zh,official_totals_pick_zh,totals_alignment,moneyline,confidence,market_implied_prob,edge,unit,status,settlement,skip_reason,ticket_tier
2026-09-09,823497,2026-09-10 07:05,2026-09-09T23:05:00Z,,,科羅拉多洛磯 @ 紐約洋基,紐約洋基,大小分未統一,不推薦,紐約洋基,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.6573,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-09,824713,2026-09-10 06:45,2026-09-09T22:45:00Z,,,洛杉磯天使 @ 波士頓紅襪,波士頓紅襪,大小分未統一,不推薦,波士頓紅襪,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5937,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-09,823900,2026-09-10 10:10,2026-09-10T02:10:00Z,,,辛辛那提紅人 @ 洛杉磯道奇,洛杉磯道奇,大小分未統一,不推薦,洛杉磯道奇,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5767,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-09,823251,2026-09-10 04:10,2026-09-09T20:10:00Z,,,華盛頓國民 @ 聖地牙哥教士,聖地牙哥教士,大小分未統一,不推薦,聖地牙哥教士,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.568,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-09,824226,2026-09-10 01:10,2026-09-09T17:10:00Z,,,明尼蘇達雙城 @ 底特律老虎,底特律老虎,勝方與大小分未統一,不推薦,明尼蘇達雙城,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.563,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,823416,2026-09-10 06:40,2026-09-09T22:40:00Z,,,休士頓太空人 @ 費城費城人,費城費城人,勝方與大小分未統一,不推薦,費城費城人,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5491,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,824956,2026-09-10 03:05,2026-09-09T19:05:00Z,,,多倫多藍鳥 @ 運動家,多倫多藍鳥,勝方與大小分未統一,不推薦,多倫多藍鳥,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5314,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,823739,2026-09-10 07:40,2026-09-09T23:40:00Z,,,芝加哥小熊 @ 密爾瓦基釀酒人,密爾瓦基釀酒人,勝方與大小分未統一,不推薦,芝加哥小熊,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5298,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,823172,2026-09-10 03:45,2026-09-09T19:45:00Z,,,聖路易紅雀 @ 舊金山巨人,舊金山巨人,勝方與大小分未統一,不推薦,聖路易紅雀,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5247,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,824871,2026-09-10 07:15,2026-09-09T23:15:00Z,,,坦帕灣光芒 @ 亞特蘭大勇士,亞特蘭大勇士,勝方與大小分未統一,不推薦,亞特蘭大勇士,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5223,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,824549,2026-09-10 07:40,2026-09-09T23:40:00Z,,,匹茲堡海盜 @ 芝加哥白襪,芝加哥白襪,勝方與大小分未統一,不推薦,匹茲堡海盜,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5164,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,823090,2026-09-10 04:10,2026-09-09T20:10:00Z,,,德州遊騎兵 @ 西雅圖水手,西雅圖水手,勝方與大小分未統一,不推薦,德州遊騎兵,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5122,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,824064,2026-09-10 07:40,2026-09-09T23:40:00Z,,,亞利桑那響尾蛇 @ 堪薩斯市皇家,堪薩斯市皇家,勝方與大小分未統一,不推薦,堪薩斯市皇家,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5051,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,823818,2026-09-10 06:40,2026-09-09T22:40:00Z,,,紐約大都會 @ 邁阿密馬林魚,邁阿密馬林魚,勝方與大小分未統一,不推薦,邁阿密馬林魚,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5047,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-09,824791,2026-09-10 06:35,2026-09-09T22:35:00Z,,,克里夫蘭守護者 @ 巴爾的摩金鶯,克里夫蘭守護者,勝方與大小分未統一,不推薦,克里夫蘭守護者,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5008,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
