game_pk,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
824339,邁阿密馬林魚 @ 科羅拉多洛磯,10000,2.38,4.53,6.91,0.2436,0.7564,4.11,1.32,台灣運彩,1.53,1.97,-0.41,0.2488,科羅拉多洛磯,projected_recent_lineup_order,11.5,0.1193,0.8807,小分
824176,明尼蘇達雙城 @ 休士頓太空人,10000,5.02,2.68,7.7,0.706,0.294,1.42,3.40,台灣運彩,1.90,1.60,0.1797,-0.331,明尼蘇達雙城,projected_recent_lineup_order,8.5,0.3758,0.6242,小分
824420,德州遊騎兵 @ 克里夫蘭守護者,10000,4.03,2.0,6.04,0.6948,0.3052,1.44,3.28,台灣運彩,2.00,1.50,0.1948,-0.3615,德州遊騎兵,projected_recent_lineup_order,7.5,0.2953,0.7047,小分
824741,華盛頓國民 @ 波士頓紅襪,10000,4.79,2.62,7.41,0.6897,0.3103,1.45,3.22,台灣運彩,2.20,1.42,0.2352,-0.3939,華盛頓國民,projected_recent_lineup_order,8.5,0.3555,0.6445,小分
823529,底特律老虎 @ 紐約洋基,10000,3.46,4.82,8.28,0.3376,0.6624,2.96,1.51,台灣運彩,2.10,1.45,-0.1386,-0.0273,不推薦,projected_recent_lineup_order,7.5,0.5208,0.4792,大分
824662,聖地牙哥教士 @ 芝加哥小熊,10000,3.5,4.71,8.21,0.3476,0.6524,2.88,1.53,台灣運彩,2.07,1.46,-0.1355,-0.0325,不推薦,projected_recent_lineup_order,11.5,0.2014,0.7986,小分
823121,洛杉磯天使 @ 西雅圖水手,10000,3.66,2.25,5.91,0.6323,0.3677,1.58,2.72,台灣運彩,2.47,1.33,0.2274,-0.3842,洛杉磯天使,projected_recent_lineup_order,7.5,0.2852,0.7148,小分
824986,洛杉磯道奇 @ 運動家,10000,5.23,5.77,11.0,0.4167,0.5833,2.40,1.71,台灣運彩,1.52,1.98,-0.2412,0.0782,運動家,projected_recent_lineup_order,10.5,0.5009,0.4991,大分
825065,舊金山巨人 @ 亞利桑那響尾蛇,10000,3.54,2.58,6.13,0.5812,0.4188,1.72,2.39,台灣運彩,1.97,1.53,0.0736,-0.2348,舊金山巨人,projected_recent_lineup_order,8.5,0.2337,0.7663,小分
823771,辛辛那提紅人 @ 密爾瓦基釀酒人,10000,3.65,4.05,7.71,0.4251,0.5749,2.35,1.74,台灣運彩,2.05,1.48,-0.0627,-0.1008,不推薦,projected_recent_lineup_order,8.5,0.3762,0.6238,小分
823444,匹茲堡海盜 @ 費城費城人,10000,3.65,3.78,7.43,0.4499,0.5501,2.22,1.82,台灣運彩,1.70,1.80,-0.1383,-0.0055,不推薦,projected_recent_lineup_order,8.5,0.3531,0.6469,小分
824822,芝加哥白襪 @ 巴爾的摩金鶯,10000,3.55,2.96,6.51,0.5351,0.4649,1.87,2.15,台灣運彩,1.88,1.62,0.0032,-0.1524,芝加哥白襪,projected_recent_lineup_order,9.5,0.1914,0.8086,小分
822792,紐約大都會 @ 多倫多藍鳥,10000,2.97,2.54,5.51,0.5132,0.4868,1.95,2.05,台灣運彩,1.90,1.60,-0.0131,-0.1382,不推薦,projected_recent_lineup_order,8.5,0.1806,0.8194,小分
