game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
823202,2026-07-09 03:45,2026-07-08T19:45:00Z,多倫多藍鳥 @ 舊金山巨人,10000,2.51,3.32,5.82,0.3685,0.6315,2.71,1.58,台灣運彩,1.68,1.82,-0.2267,0.082,舊金山巨人,projected_recent_lineup_order,6.5,0.3802,0.6198,小分
824815,2026-07-09 06:35,2026-07-08T22:35:00Z,芝加哥小熊 @ 巴爾的摩金鶯,10000,7.12,2.4,9.52,0.8616,0.1384,1.16,7.23,台灣運彩,1.92,1.58,0.3408,-0.4945,芝加哥小熊,projected_recent_lineup_order,9.5,0.4599,0.5401,小分
822957,2026-07-09 06:40,2026-07-08T22:40:00Z,紐約洋基 @ 坦帕灣光芒,10000,3.48,3.53,7.01,0.4578,0.5422,2.18,1.84,台灣運彩,1.88,1.62,-0.0741,-0.0751,不推薦,projected_recent_lineup_order,7.5,0.3974,0.6026,小分
823360,2026-07-09 06:40,2026-07-08T22:40:00Z,亞特蘭大勇士 @ 匹茲堡海盜,10000,2.61,4.86,7.47,0.2331,0.7669,4.29,1.30,台灣運彩,1.87,1.63,-0.3017,0.1534,匹茲堡海盜,projected_recent_lineup_order,8.5,0.3561,0.6439,小分
823848,2026-07-09 06:40,2026-07-08T22:40:00Z,西雅圖水手 @ 邁阿密馬林魚,10000,2.5,5.12,7.61,0.2104,0.7896,4.75,1.27,台灣運彩,1.53,1.97,-0.4432,0.282,邁阿密馬林魚,projected_recent_lineup_order,8.5,0.374,0.626,小分
824253,2026-07-09 06:40,2026-07-08T22:40:00Z,運動家 @ 底特律老虎,10000,6.42,2.7,9.11,0.7947,0.2053,1.26,4.87,台灣運彩,2.10,1.45,0.3185,-0.4844,運動家,projected_recent_lineup_order,8.5,0.5076,0.4924,大分
822710,2026-07-09 06:45,2026-07-08T22:45:00Z,休士頓太空人 @ 華盛頓國民,10000,3.46,4.34,7.8,0.3771,0.6229,2.65,1.61,台灣運彩,1.95,1.55,-0.1357,-0.0223,不推薦,projected_recent_lineup_order,9.5,0.3009,0.6991,小分
823605,2026-07-09 07:10,2026-07-08T23:10:00Z,堪薩斯市皇家 @ 紐約大都會,10000,3.61,2.41,6.02,0.6112,0.3888,1.64,2.57,台灣運彩,2.05,1.48,0.1234,-0.2869,堪薩斯市皇家,projected_recent_lineup_order,6.0,,,無大小分盤口
824496,2026-07-09 07:10,2026-07-08T23:10:00Z,費城費城人 @ 辛辛那提紅人,10000,6.02,2.47,8.49,0.791,0.209,1.26,4.78,台灣運彩,1.42,2.20,0.0868,-0.2455,費城費城人,projected_recent_lineup_order,8.5,,,無大小分盤口
823684,2026-07-09 07:40,2026-07-08T23:40:00Z,克里夫蘭守護者 @ 明尼蘇達雙城,10000,1.56,4.6,6.17,0.1421,0.8579,7.04,1.17,台灣運彩,1.90,1.60,-0.3842,0.2329,明尼蘇達雙城,projected_recent_lineup_order,8.5,0.2327,0.7673,小分
824578,2026-07-09 07:40,2026-07-08T23:40:00Z,波士頓紅襪 @ 芝加哥白襪,10000,3.68,4.61,8.29,0.3765,0.6235,2.66,1.60,台灣運彩,1.90,1.60,-0.1498,-0.0015,不推薦,projected_recent_lineup_order,8.5,0.4349,0.5651,小分
823032,2026-07-09 07:45,2026-07-08T23:45:00Z,密爾瓦基釀酒人 @ 聖路易紅雀,10000,4.27,4.88,9.15,0.4138,0.5862,2.42,1.71,台灣運彩,1.55,1.95,-0.2314,0.0734,聖路易紅雀,projected_recent_lineup_order,8.5,0.5116,0.4884,大分
822880,2026-07-09 08:05,2026-07-09T00:05:00Z,洛杉磯天使 @ 德州遊騎兵,10000,2.49,2.89,5.37,0.4052,0.5948,2.47,1.68,台灣運彩,2.10,1.45,-0.071,-0.0949,不推薦,projected_recent_lineup_order,7.5,0.2231,0.7769,小分
823279,2026-07-09 10:10,2026-07-09T02:10:00Z,亞利桑那響尾蛇 @ 聖地牙哥教士,10000,3.06,2.72,5.78,0.4953,0.5047,2.02,1.98,台灣運彩,1.97,1.53,-0.0123,-0.1489,不推薦,projected_recent_lineup_order,7.5,0.2708,0.7292,小分
823928,2026-07-09 10:10,2026-07-09T02:10:00Z,科羅拉多洛磯 @ 洛杉磯道奇,10000,5.01,5.02,10.03,0.4726,0.5274,2.12,1.90,台灣運彩,2.50,1.32,0.0726,-0.2302,科羅拉多洛磯,projected_recent_lineup_order,10.5,0.4253,0.5747,小分
