date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,unified_decision,unified_direction,score_pick_zh,score_alignment,monte_carlo_totals_pick_zh,official_totals_pick_zh,totals_alignment,moneyline,confidence,market_implied_prob,edge,unit,status,settlement,skip_reason,ticket_tier
2026-09-19,824304,2026-09-20 08:10,2026-09-20T00:10:00Z,,,西雅圖水手 @ 科羅拉多洛磯,西雅圖水手,大小分未統一,不推薦,西雅圖水手,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5819,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-19,823899,2026-09-20 09:10,2026-09-20T01:10:00Z,,,舊金山巨人 @ 洛杉磯道奇,洛杉磯道奇,大小分未統一,不推薦,洛杉磯道奇,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5731,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-19,824380,2026-09-20 06:10,2026-09-19T22:10:00Z,,,運動家 @ 克里夫蘭守護者,克里夫蘭守護者,大小分未統一,不推薦,克里夫蘭守護者,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5656,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-19,824788,2026-09-20 04:05,2026-09-19T20:05:00Z,,,密爾瓦基釀酒人 @ 巴爾的摩金鶯,密爾瓦基釀酒人,大小分未統一,不推薦,密爾瓦基釀酒人,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5552,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-19,823249,2026-09-20 08:40,2026-09-20T00:40:00Z,,,邁阿密馬林魚 @ 聖地牙哥教士,聖地牙哥教士,大小分未統一,不推薦,聖地牙哥教士,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5518,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-19,824461,2026-09-20 06:40,2026-09-19T22:40:00Z,,,芝加哥小熊 @ 辛辛那提紅人,芝加哥小熊,勝方與大小分未統一,不推薦,芝加哥小熊,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.542,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,823003,2026-09-20 07:15,2026-09-19T23:15:00Z,,,華盛頓國民 @ 聖路易紅雀,聖路易紅雀,勝方與大小分未統一,不推薦,聖路易紅雀,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5393,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,823330,2026-09-20 06:40,2026-09-19T22:40:00Z,,,堪薩斯市皇家 @ 匹茲堡海盜,匹茲堡海盜,勝方與大小分未統一,不推薦,匹茲堡海盜,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.528,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,825029,2026-09-20 08:10,2026-09-20T00:10:00Z,,,紐約洋基 @ 亞利桑那響尾蛇,紐約洋基,勝方與大小分未統一,不推薦,紐約洋基,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5236,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,822843,2026-09-20 07:05,2026-09-19T23:05:00Z,,,多倫多藍鳥 @ 德州遊騎兵,德州遊騎兵,勝方與大小分未統一,不推薦,多倫多藍鳥,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5205,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,824545,2026-09-20 07:10,2026-09-19T23:10:00Z,,,底特律老虎 @ 芝加哥白襪,底特律老虎,勝方與大小分未統一,不推薦,底特律老虎,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5123,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,822921,2026-09-20 04:10,2026-09-19T20:10:00Z,,,波士頓紅襪 @ 坦帕灣光芒,坦帕灣光芒,勝方與大小分未統一,不推薦,坦帕灣光芒,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5074,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,823976,2026-09-20 09:38,2026-09-20T01:38:00Z,,,明尼蘇達雙城 @ 洛杉磯天使,洛杉磯天使,勝方與大小分未統一,不推薦,洛杉磯天使,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5055,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,823571,2026-09-20 04:10,2026-09-19T20:10:00Z,,,費城費城人 @ 紐約大都會,費城費城人,勝方與大小分未統一,不推薦,紐約大都會,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5049,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-19,824137,2026-09-20 07:10,2026-09-19T23:10:00Z,,,亞特蘭大勇士 @ 休士頓太空人,亞特蘭大勇士,勝方與大小分未統一,不推薦,亞特蘭大勇士,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5005,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
