game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
823832,2026-08-12 06:40,2026-08-11T22:40:00Z,匹茲堡海盜 @ 邁阿密馬林魚,10000,3.87,4.34,8.21,0.4876,0.5124,2.05,1.95,DraftKings,-114,+106,-0.0451,0.027,邁阿密馬林魚,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.85,2.6,5.44,8.0,,,無大小分盤口
824240,2026-08-12 06:40,2026-08-11T22:40:00Z,克里夫蘭守護者 @ 底特律老虎,10000,3.63,5.17,8.8,0.2834,0.7166,3.53,1.40,DraftKings,+116,-124,-0.1796,0.163,底特律老虎,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.37,5.59,8.96,9.0,,,無大小分盤口
822697,2026-08-12 06:45,2026-08-11T22:45:00Z,芝加哥小熊 @ 華盛頓國民,10000,5.28,4.04,9.32,0.5787,0.4213,1.73,2.37,DraftKings,-164,+153,-0.0425,0.026,華盛頓國民,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.51,5.19,9.71,9.5,,,無大小分盤口
823512,2026-08-12 07:05,2026-08-11T23:05:00Z,西雅圖水手 @ 紐約洋基,10000,3.57,4.2,7.77,0.4722,0.5278,2.12,1.89,DraftKings,+116,-124,0.0092,-0.0258,西雅圖水手,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.8,2.61,5.41,8.0,,,無大小分盤口
822778,2026-08-12 07:07,2026-08-11T23:07:00Z,波士頓紅襪 @ 多倫多藍鳥,10000,4.64,3.49,8.13,0.5769,0.4231,1.73,2.36,DraftKings,+131,-140,0.144,-0.1602,波士頓紅襪,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,5.3,2.83,8.14,8.0,,,無大小分盤口
824886,2026-08-12 07:15,2026-08-11T23:15:00Z,紐約大都會 @ 亞特蘭大勇士,10000,4.06,4.07,8.13,0.5351,0.4649,1.87,2.15,DraftKings,+116,-124,0.0721,-0.0887,紐約大都會,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.26,3.61,7.87,8.0,,,無大小分盤口
823673,2026-08-12 07:40,2026-08-11T23:40:00Z,巴爾的摩金鶯 @ 明尼蘇達雙城,10000,4.03,4.19,8.22,0.4657,0.5343,2.15,1.87,DraftKings,-102,-118,-0.0393,-0.007,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.58,2.88,5.46,8.0,,,無大小分盤口
824563,2026-08-12 07:40,2026-08-11T23:40:00Z,辛辛那提紅人 @ 芝加哥白襪,10000,3.89,4.23,8.12,0.4593,0.5407,2.18,1.85,DraftKings,+135,-163,0.0338,-0.0791,辛辛那提紅人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.66,3.04,5.7,8.0,,,無大小分盤口
823019,2026-08-12 07:45,2026-08-11T23:45:00Z,費城費城人 @ 聖路易紅雀,10000,4.57,3.89,8.46,0.5454,0.4546,1.83,2.20,DraftKings,-172,+142,-0.087,0.0414,聖路易紅雀,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.46,2.46,6.92,8.5,,,無大小分盤口
823997,2026-08-12 09:38,2026-08-12T01:38:00Z,德州遊騎兵 @ 洛杉磯天使,10000,4.25,2.99,7.24,0.7353,0.2647,1.36,3.78,DraftKings,-143,+119,0.1468,-0.1919,德州遊騎兵,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.42,2.2,4.62,7.0,,,無大小分盤口
823264,2026-08-12 09:40,2026-08-12T01:40:00Z,密爾瓦基釀酒人 @ 聖地牙哥教士,10000,4.15,3.81,7.96,0.4458,0.5542,2.24,1.80,DraftKings,-143,+119,-0.1427,0.0976,聖地牙哥教士,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.69,4.12,7.81,8.0,,,無大小分盤口
824970,2026-08-12 09:40,2026-08-12T01:40:00Z,坦帕灣光芒 @ 運動家,10000,5.25,3.38,8.63,0.7718,0.2282,1.30,4.38,DraftKings,-168,+139,0.1449,-0.1902,坦帕灣光芒,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.76,3.95,6.71,8.5,,,無大小分盤口
825046,2026-08-12 09:40,2026-08-12T01:40:00Z,科羅拉多洛磯 @ 亞利桑那響尾蛇,10000,4.65,5.49,10.14,0.3749,0.6251,2.67,1.60,DraftKings,+149,-181,-0.0267,-0.019,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.93,3.51,8.44,10.0,,,無大小分盤口
823186,2026-08-12 09:45,2026-08-12T01:45:00Z,休士頓太空人 @ 舊金山巨人,10000,4.79,3.72,8.51,0.6214,0.3786,1.61,2.64,DraftKings,-194,+159,-0.0385,-0.0075,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.81,2.74,6.54,8.5,,,無大小分盤口
823917,2026-08-12 10:10,2026-08-12T02:10:00Z,堪薩斯市皇家 @ 洛杉磯道奇,10000,4.21,4.46,8.67,0.5784,0.4216,1.73,2.37,DraftKings,+219,-273,0.2649,-0.3103,堪薩斯市皇家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.22,4.6,5.83,8.5,,,無大小分盤口
