game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
824659,2026-07-04 04:05,2026-07-03T20:05:00Z,聖路易紅雀 @ 芝加哥小熊,10000,2.94,5.16,8.1,0.249,0.751,4.02,1.33,台灣運彩,1.92,1.58,-0.2718,0.1181,芝加哥小熊,projected_recent_lineup_order,10.5,0.2579,0.7421,小分
822714,2026-07-04 06:45,2026-07-03T22:45:00Z,匹茲堡海盜 @ 華盛頓國民,10000,4.07,3.88,7.95,0.4891,0.5109,2.04,1.96,台灣運彩,1.98,1.52,-0.016,-0.147,不推薦,projected_recent_lineup_order,9.5,0.3089,0.6911,小分
823527,2026-07-04 07:05,2026-07-03T23:05:00Z,明尼蘇達雙城 @ 紐約洋基,10000,5.27,2.99,8.26,0.7015,0.2985,1.43,3.35,台灣運彩,2.45,1.35,0.2933,-0.4422,明尼蘇達雙城,projected_recent_lineup_order,9.5,0.341,0.659,小分
824417,2026-07-04 07:10,2026-07-03T23:10:00Z,芝加哥白襪 @ 克里夫蘭守護者,10000,4.06,1.99,6.05,0.7039,0.2961,1.42,3.38,台灣運彩,1.95,1.55,0.1911,-0.3491,芝加哥白襪,projected_recent_lineup_order,8.5,0.228,0.772,小分
824498,2026-07-04 07:10,2026-07-03T23:10:00Z,巴爾的摩金鶯 @ 辛辛那提紅人,10000,2.83,2.62,5.44,0.4914,0.5086,2.04,1.97,台灣運彩,1.68,1.82,-0.1038,-0.0409,不推薦,projected_recent_lineup_order,9.5,0.1141,0.8859,小分
824904,2026-07-04 07:15,2026-07-03T23:15:00Z,紐約大都會 @ 亞特蘭大勇士,10000,2.89,2.28,5.18,0.5356,0.4644,1.87,2.15,台灣運彩,1.82,1.68,-0.0139,-0.1308,不推薦,projected_recent_lineup_order,9.5,0.0946,0.9054,小分
824336,2026-07-04 08:10,2026-07-04T00:10:00Z,舊金山巨人 @ 科羅拉多洛磯,10000,2.67,5.14,7.81,0.2287,0.7713,4.37,1.30,台灣運彩,1.48,2.05,-0.447,0.2835,科羅拉多洛磯,projected_recent_lineup_order,10.5,0.2413,0.7587,小分
824173,2026-07-04 08:15,2026-07-04T00:15:00Z,坦帕灣光芒 @ 休士頓太空人,10000,3.54,4.87,8.41,0.3474,0.6526,2.88,1.53,台灣運彩,1.70,1.80,-0.2408,0.097,休士頓太空人,projected_recent_lineup_order,8.5,0.4487,0.5513,小分
824013,2026-07-04 09:38,2026-07-04T01:38:00Z,波士頓紅襪 @ 洛杉磯天使,10000,2.89,3.29,6.18,0.4182,0.5818,2.39,1.72,台灣運彩,1.77,1.73,-0.1468,0.0038,洛杉磯天使,projected_recent_lineup_order,7.5,0.3112,0.6888,小分
824982,2026-07-04 09:40,2026-07-04T01:40:00Z,邁阿密馬林魚 @ 運動家,10000,2.12,4.57,6.69,0.2118,0.7882,4.72,1.27,台灣運彩,1.90,1.60,-0.3145,0.1632,運動家,projected_recent_lineup_order,10.5,0.1532,0.8468,小分
825062,2026-07-04 09:45,2026-07-04T01:45:00Z,密爾瓦基釀酒人 @ 亞利桑那響尾蛇,10000,4.73,4.04,8.77,0.5328,0.4672,1.88,2.14,台灣運彩,1.45,2.10,-0.1569,-0.009,不推薦,projected_recent_lineup_order,8.5,0.4861,0.5139,小分
823120,2026-07-04 10:10,2026-07-04T02:10:00Z,多倫多藍鳥 @ 西雅圖水手,10000,3.11,2.24,5.35,0.5723,0.4277,1.75,2.34,台灣運彩,1.60,1.90,-0.0527,-0.0986,不推薦,projected_recent_lineup_order,7.5,0.2236,0.7764,小分
823933,2026-07-04 10:10,2026-07-04T02:10:00Z,聖地牙哥教士 @ 洛杉磯道奇,10000,3.58,4.65,8.23,0.3608,0.6392,2.77,1.56,台灣運彩,2.85,1.25,0.0099,-0.1608,聖地牙哥教士,projected_recent_lineup_order,7.5,0.5146,0.4854,大分
