date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,unified_decision,unified_direction,score_pick_zh,score_alignment,monte_carlo_totals_pick_zh,official_totals_pick_zh,totals_alignment,moneyline,confidence,market_implied_prob,edge,unit,status,settlement,skip_reason,ticket_tier
2026-09-04,823905,2026-09-05 10:10,2026-09-05T02:10:00Z,,,華盛頓國民 @ 洛杉磯道奇,洛杉磯道奇,大小分未統一,不推薦,洛杉磯道奇,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5942,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-04,823093,2026-09-05 10:10,2026-09-05T02:10:00Z,,,運動家 @ 西雅圖水手,西雅圖水手,大小分未統一,不推薦,西雅圖水手,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5678,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-04,824311,2026-09-05 08:40,2026-09-05T00:40:00Z,,,聖路易紅雀 @ 科羅拉多洛磯,聖路易紅雀,大小分未統一,不推薦,聖路易紅雀,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5658,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-04,823338,2026-09-05 06:45,2026-09-04T22:45:00Z,,,洛杉磯天使 @ 匹茲堡海盜,匹茲堡海盜,大小分未統一,不推薦,匹茲堡海盜,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5583,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-09-04,824471,2026-09-05 06:10,2026-09-04T22:10:00Z,,,密爾瓦基釀酒人 @ 辛辛那提紅人,密爾瓦基釀酒人,勝方與大小分未統一,不推薦,密爾瓦基釀酒人,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5451,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,823824,2026-09-05 07:10,2026-09-04T23:10:00Z,,,芝加哥小熊 @ 邁阿密馬林魚,芝加哥小熊,勝方與大小分未統一,不推薦,芝加哥小熊,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5341,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,824797,2026-09-05 07:05,2026-09-04T23:05:00Z,,,波士頓紅襪 @ 巴爾的摩金鶯,波士頓紅襪,勝方與大小分未統一,不推薦,波士頓紅襪,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5331,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,824554,2026-09-05 07:40,2026-09-04T23:40:00Z,,,明尼蘇達雙城 @ 芝加哥白襪,芝加哥白襪,勝方與大小分未統一,不推薦,芝加哥白襪,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5326,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,823418,2026-09-05 06:40,2026-09-04T22:40:00Z,,,亞特蘭大勇士 @ 費城費城人,費城費城人,勝方與大小分未統一,不推薦,費城費城人,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5296,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,823579,2026-09-05 07:10,2026-09-04T23:10:00Z,,,舊金山巨人 @ 紐約大都會,紐約大都會,勝方與大小分未統一,不推薦,紐約大都會,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5284,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,824146,2026-09-05 08:10,2026-09-05T00:10:00Z,,,亞利桑那響尾蛇 @ 休士頓太空人,休士頓太空人,勝方與大小分未統一,不推薦,休士頓太空人,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5164,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,822852,2026-09-05 08:05,2026-09-05T00:05:00Z,,,坦帕灣光芒 @ 德州遊騎兵,德州遊騎兵,勝方與大小分未統一,不推薦,坦帕灣光芒,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5116,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,823256,2026-09-05 09:40,2026-09-05T01:40:00Z,,,紐約洋基 @ 聖地牙哥教士,紐約洋基,勝方與大小分未統一,不推薦,紐約洋基,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.507,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,824424,2026-09-05 02:10,2026-09-04T18:10:00Z,,,底特律老虎 @ 克里夫蘭守護者,底特律老虎,勝方與大小分未統一,不推薦,克里夫蘭守護者,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5025,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,824387,2026-09-05 07:15,2026-09-04T23:15:00Z,,,底特律老虎 @ 克里夫蘭守護者,底特律老虎,勝方與大小分未統一,不推薦,克里夫蘭守護者,模型分歧,無大小分盤口,-,無台灣運彩大小分盤口,,0.5025,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-09-04,824067,2026-09-05 08:10,2026-09-05T00:10:00Z,,,多倫多藍鳥 @ 堪薩斯市皇家,堪薩斯市皇家,勝方與大小分未統一,不推薦,堪薩斯市皇家,一致,無大小分盤口,-,無台灣運彩大小分盤口,,0.5003,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
