date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,moneyline,confidence,market_implied_prob,edge,unit,status,settlement
2026-07-04,823118,2026-07-05 04:10,2026-07-04T20:10:00Z,台灣運彩,2026-07-04T00:00:50,多倫多藍鳥 @ 西雅圖水手,西雅圖水手,1.92,0.528,0.5208,0.0072,100.0,Scheduled,pending
2026-07-04,822716,2026-07-04 23:05,2026-07-04T15:05:00Z,台灣運彩,2026-07-04T00:00:50,匹茲堡海盜 @ 華盛頓國民,匹茲堡海盜,2.07,0.51,0.4831,0.0269,100.0,Scheduled,pending
