模型,總注,勝,敗,勝率%,總損益$,ROI%
A-畢氏勝率,1129,669,460,59.26,14818.79,13.13
B-近期狀態,1351,759,592,56.18,9800.69,7.25
C-ELO評分,1336,779,557,58.31,15118.89,11.32
D-近期失分代理,1336,739,597,55.31,7482.49,5.6
E-對照組(Ensemble),1306,765,541,58.58,15446.15,11.83
